       Step     Time          Energy         fmax
GPMin:   19 23:05:46       -5.737418        0.1049
GPMin:   20 23:05:52       -5.773898        0.1053
GPMin:   21 23:05:57       -5.808524        0.0949
GPMin:   22 23:06:03       -5.839167        0.0704
GPMin:   23 23:06:09       -5.856731        0.0496
GPMin:   24 23:06:14       -5.865120        0.0438
GPMin:   25 23:06:20       -5.868096        0.0358
GPMin:   26 23:06:26       -5.869964        0.0338
GPMin:   27 23:06:31       -5.871001        0.0237
GPMin:   28 23:06:37       -5.871941        0.0231
GPMin:   29 23:06:41       -5.872478        0.0179
       Step     Time          Energy         fmax
GPMin:    0 23:06:51       -4.264505        1.3815
GPMin:    1 23:06:58       -5.218493        0.6350
GPMin:    2 23:07:05       -5.580010        0.2981
GPMin:    3 23:07:12       -5.699019        0.1228
GPMin:    4 23:07:17       -5.715851        0.0528
GPMin:    5 23:07:22       -5.718077        0.0458
GPMin:    6 23:07:29       -5.726475        0.0236
GPMin:    7 23:07:34       -5.728765        0.0136
       Step     Time          Energy         fmax
GPMin:    0 23:07:44       -4.262029        1.3784
GPMin:    1 23:07:51       -5.216572        0.6331
GPMin:    2 23:07:59       -5.578693        0.2996
GPMin:    3 23:08:05       -5.698215        0.1233
GPMin:    4 23:08:11       -5.715479        0.0535
GPMin:    5 23:08:16       -5.717859        0.0481
GPMin:    6 23:08:22       -5.726580        0.0251
GPMin:    7 23:08:28       -5.728950        0.0146
       Step     Time          Energy         fmax
GPMin:    0 23:08:39       -4.113700        1.3772
GPMin:    1 23:08:47       -5.047338        0.6584
GPMin:    2 23:08:55       -5.410573        0.3253
GPMin:    3 23:09:01       -5.537489        0.1501
GPMin:    4 23:09:08       -5.559688        0.0694
GPMin:    5 23:09:13       -5.562553        0.0681
GPMin:    6 23:09:19       -5.581100        0.0759
GPMin:    7 23:09:25       -5.595591        0.0721
GPMin:    8 23:09:30       -5.620278        0.0742
GPMin:    9 23:09:36       -5.631647        0.0763
GPMin:   10 23:09:44       -5.686071        0.0958
GPMin:   11 23:09:58       -5.689361        0.0930
GPMin:   12 23:10:04       -5.711523        0.0427
GPMin:   13 23:10:08       -5.713320        0.0405
GPMin:   14 23:10:24       -5.720993        0.0759
GPMin:   15 23:10:30       -5.721102        0.0512
GPMin:   16 23:10:37       -5.727119        0.0470
GPMin:   17 23:10:44       -5.733464        0.0694
GPMin:   18 23:10:50       -5.736412        0.0699
GPMin:   19 23:10:56       -5.743374        0.0681
GPMin:   20 23:11:01       -5.750390        0.0500
GPMin:   21 23:11:08       -5.760051        0.0512
GPMin:   22 23:11:14       -5.767239        0.0599
GPMin:   23 23:11:19       -5.781543        0.0682
GPMin:   24 23:11:25       -5.799082        0.0704
GPMin:   25 23:11:31       -5.815687        0.0748
GPMin:   26 23:11:38       -5.834576        0.0768
GPMin:   27 23:11:44       -5.849126        0.0723
GPMin:   28 23:11:51       -5.860108        0.0545
GPMin:   29 23:11:56       -5.865700        0.0462
GPMin:   30 23:12:02       -5.868490        0.0359
GPMin:   31 23:12:08       -5.870269        0.0395
GPMin:   32 23:12:13       -5.871484        0.0302
GPMin:   33 23:12:19       -5.872507        0.0306
GPMin:   34 23:12:23       -5.872950        0.0180
       Step     Time          Energy         fmax
GPMin:    0 23:12:33       -4.382412        1.3663
GPMin:    1 23:12:40       -5.257935        0.6349
GPMin:    2 23:12:47       -5.585731        0.3011
GPMin:    3 23:12:53       -5.689057        0.1208
GPMin:    4 23:12:59       -5.702206        0.0575
GPMin:    5 23:13:04       -5.704928        0.0544
GPMin:    6 23:13:10       -5.713050        0.0289
GPMin:    7 23:13:15       -5.715895        0.0406
