      Step     Time          Energy         fmax
BFGS:    0 19:21:55       13.330145       33.1618
BFGS:    1 19:21:55        1.224952       10.7155
BFGS:    2 19:21:55       -1.299640        4.7641
BFGS:    3 19:21:55       -2.376570        2.6961
BFGS:    4 19:21:55       -2.858709        1.2224
BFGS:    5 19:21:55       -3.005783        0.5552
BFGS:    6 19:21:55       -3.043996        0.4983
BFGS:    7 19:21:55       -3.058302        0.5241
BFGS:    8 19:21:55       -3.077526        0.5931
BFGS:    9 19:21:55       -3.126404        0.7712
BFGS:   10 19:21:55       -3.221501        0.9311
BFGS:   11 19:21:55       -3.188376        1.1348
BFGS:   12 19:21:55       -3.311892        0.8801
BFGS:   13 19:21:55       -3.384687        0.8689
BFGS:   14 19:21:55       -3.487293        1.5441
BFGS:   15 19:21:55       -3.575226        0.7282
BFGS:   16 19:21:55       -3.605847        0.7578
BFGS:   17 19:21:55       -3.662719        0.5790
BFGS:   18 19:21:55       -3.685337        0.4184
BFGS:   19 19:21:55       -3.713714        0.4759
BFGS:   20 19:21:55       -3.727575        0.5250
BFGS:   21 19:21:55       -3.751663        0.5285
BFGS:   22 19:21:55       -3.779938        0.4207
BFGS:   23 19:21:55       -3.810834        0.4735
BFGS:   24 19:21:55       -3.846799        0.4245
BFGS:   25 19:21:55       -3.868881        0.6267
BFGS:   26 19:21:55       -3.937702        0.9672
BFGS:   27 19:21:55       -4.060068        1.5903
BFGS:   28 19:21:55       -4.182147        2.1670
BFGS:   29 19:21:55       -4.115996        2.0606
BFGS:   30 19:21:55       -4.302371        1.9769
BFGS:   31 19:21:55       -4.354742        1.2637
BFGS:   32 19:21:55       -4.455194        1.1397
BFGS:   33 19:21:55       -4.616867        0.8421
BFGS:   34 19:21:55       -4.653045        0.7702
BFGS:   35 19:21:55       -4.696099        0.6127
BFGS:   36 19:21:55       -4.722498        0.4022
BFGS:   37 19:21:55       -4.735814        0.3564
BFGS:   38 19:21:55       -4.760148        0.3437
BFGS:   39 19:21:55       -4.770924        0.4019
BFGS:   40 19:21:55       -4.787884        0.4683
BFGS:   41 19:21:55       -4.808899        0.4715
BFGS:   42 19:21:55       -4.827588        0.4367
BFGS:   43 19:21:55       -4.845252        0.4192
BFGS:   44 19:21:55       -4.858995        0.3648
BFGS:   45 19:21:55       -4.868042        0.3382
BFGS:   46 19:21:55       -4.888937        0.3722
BFGS:   47 19:21:55       -4.896952        0.1668
BFGS:   48 19:21:55       -4.898760        0.1268
BFGS:   49 19:21:55       -4.901566        0.0864
BFGS:   50 19:21:55       -4.902087        0.1023
BFGS:   51 19:21:55       -4.902849        0.0916
BFGS:   52 19:21:55       -4.903784        0.0780
BFGS:   53 19:21:55       -4.904696        0.0757
BFGS:   54 19:21:55       -4.905971        0.1157
BFGS:   55 19:21:55       -4.907106        0.1627
BFGS:   56 19:21:55       -4.908543        0.2035
BFGS:   57 19:21:55       -4.911770        0.2653
BFGS:   58 19:21:55       -4.922510        0.4321
BFGS:   59 19:21:55       -4.944413        0.6760
BFGS:   60 19:21:55       -4.956503        0.9044
BFGS:   61 19:21:55       -4.987626        0.7513
BFGS:   62 19:21:55       -5.088005        0.7595
BFGS:   63 19:21:55       -5.133604        0.7047
BFGS:   64 19:21:55       -5.080308        1.4138
BFGS:   65 19:21:55       -5.173659        0.4960
BFGS:   66 19:21:55       -5.199665        0.2075
BFGS:   67 19:21:55       -5.207596        0.1104
BFGS:   68 19:21:55       -5.210732        0.0652
BFGS:   69 19:21:55       -5.211031        0.0535
BFGS:   70 19:21:55       -5.211298        0.0375
      Step     Time          Energy         fmax
BFGS:    0 19:21:55       14.000697       30.2628
BFGS:    1 19:21:55        1.649964       10.2098
BFGS:    2 19:21:55       -1.297633        4.8745
BFGS:    3 19:21:55       -2.179594        2.3549
BFGS:    4 19:21:55       -2.546203        1.1519
BFGS:    5 19:21:55       -2.659232        0.5317
BFGS:    6 19:21:55       -2.681553        0.2862
BFGS:    7 19:21:55       -2.687555        0.2319
BFGS:    8 19:21:55       -2.693962        0.2466
BFGS:    9 19:21:55       -2.705408        0.2841
BFGS:   10 19:21:55       -2.720485        0.4011
BFGS:   11 19:21:55       -2.733416        0.4883
BFGS:   12 19:21:55       -2.746614        0.5486
BFGS:   13 19:21:55       -2.794165        0.8132
BFGS:   14 19:21:55       -2.868337        1.3908
BFGS:   15 19:21:55       -2.847314        1.8955
BFGS:   16 19:21:55       -2.917469        1.4328
BFGS:   17 19:21:55       -2.953404        1.3709
BFGS:   18 19:21:55       -3.099223        1.2489
BFGS:   19 19:21:55       -3.176213        0.8773
BFGS:   20 19:21:55       -3.215117        0.7225
BFGS:   21 19:21:55       -3.282937        0.4236
BFGS:   22 19:21:55       -3.300449        0.4505
BFGS:   23 19:21:55       -3.319722        0.4025
BFGS:   24 19:21:55       -3.334400        0.3915
BFGS:   25 19:21:55       -3.364878        0.3309
BFGS:   26 19:21:55       -3.381944        0.3267
BFGS:   27 19:21:55       -3.388245        0.3470
BFGS:   28 19:21:55       -3.393450        0.2575
BFGS:   29 19:21:55       -3.396828        0.2465
BFGS:   30 19:21:55       -3.404020        0.1455
BFGS:   31 19:21:55       -3.405500        0.1797
BFGS:   32 19:21:55       -3.407398        0.2039
BFGS:   33 19:21:55       -3.411927        0.2377
BFGS:   34 19:21:55       -3.426391        0.3472
BFGS:   35 19:21:55       -3.473395        0.5777
BFGS:   36 19:21:55       -3.570274        0.6743
BFGS:   37 19:21:55       -3.691723        0.6946
BFGS:   38 19:21:55       -3.443410        3.3427
BFGS:   39 19:21:55       -3.732060        0.6236
BFGS:   40 19:21:55       -3.754248        0.5764
BFGS:   41 19:21:55       -3.805157        0.4935
BFGS:   42 19:21:55       -3.899482        0.7488
BFGS:   43 19:21:55       -3.934629        0.4122
BFGS:   44 19:21:55       -3.940744        0.2752
BFGS:   45 19:21:55       -3.945673        0.2271
BFGS:   46 19:21:55       -3.950449        0.1970
BFGS:   47 19:21:55       -3.967671        0.3106
BFGS:   48 19:21:55       -3.973688        0.3411
BFGS:   49 19:21:55       -4.029643        0.5862
BFGS:   50 19:21:55       -4.049792        1.6036
BFGS:   51 19:21:55       -4.204462        1.2643
BFGS:   52 19:21:55       -4.118305        1.9707
BFGS:   53 19:21:55       -4.293044        0.5147
BFGS:   54 19:21:55       -4.316303        0.4437
BFGS:   55 19:21:55       -4.346138        0.3592
BFGS:   56 19:21:56       -4.354436        0.3115
BFGS:   57 19:21:56       -4.366277        0.2022
BFGS:   58 19:21:56       -4.369393        0.2105
BFGS:   59 19:21:56       -4.374190        0.2258
BFGS:   60 19:21:56       -4.378418        0.2236
BFGS:   61 19:21:56       -4.387549        0.2513
BFGS:   62 19:21:56       -4.400024        0.3389
BFGS:   63 19:21:56       -4.422886        0.4940
BFGS:   64 19:21:56       -4.455221        0.8090
BFGS:   65 19:21:56       -4.399792        1.2486
BFGS:   66 19:21:56       -4.468269        0.7677
BFGS:   67 19:21:56       -4.476306        0.7276
BFGS:   68 19:21:56       -4.526084        0.8156
BFGS:   69 19:21:56       -4.569567        0.6002
BFGS:   70 19:21:56       -4.588903        0.6739
BFGS:   71 19:21:56       -4.616336        0.4959
BFGS:   72 19:21:56       -4.630510        0.4916
BFGS:   73 19:21:56       -4.657482        0.8203
BFGS:   74 19:21:56       -4.665559        0.6668
BFGS:   75 19:21:56       -4.675781        0.5967
BFGS:   76 19:21:56       -4.721561        0.3627
BFGS:   77 19:21:56       -4.740541        0.2643
BFGS:   78 19:21:56       -4.752345        0.2164
BFGS:   79 19:21:56       -4.758861        0.1020
BFGS:   80 19:21:56       -4.759829        0.0343
      Step     Time          Energy         fmax
BFGS:    0 19:21:56       16.904211       40.3423
BFGS:    1 19:21:56        6.379925       22.4927
BFGS:    2 19:21:56        0.607879       11.2111
BFGS:    3 19:21:56       -1.923224        4.8775
BFGS:    4 19:21:56       -2.615388        1.9814
BFGS:    5 19:21:56       -2.921602        0.6627
BFGS:    6 19:21:56       -2.996209        0.2941
BFGS:    7 19:21:56       -3.008748        0.2437
BFGS:    8 19:21:56       -3.011529        0.2424
BFGS:    9 19:21:56       -3.015280        0.2418
BFGS:   10 19:21:56       -3.022812        0.2322
BFGS:   11 19:21:56       -3.034669        0.2816
BFGS:   12 19:21:56       -3.048013        0.3774
BFGS:   13 19:21:56       -3.062788        0.6969
BFGS:   14 19:21:56       -3.104462        1.3454
BFGS:   15 19:21:56       -3.060612        1.9359
BFGS:   16 19:21:56       -3.123818        1.4511
BFGS:   17 19:21:56       -3.137781        1.5053
BFGS:   18 19:21:56       -3.216838        2.1087
BFGS:   19 19:21:56       -3.236741        2.1412
BFGS:   20 19:21:56       -3.288809        1.9667
BFGS:   21 19:21:56       -3.339474        1.7930
BFGS:   22 19:21:56       -3.388532        1.4257
BFGS:   23 19:21:56       -3.412331        1.1864
BFGS:   24 19:21:56       -3.445121        0.6873
BFGS:   25 19:21:56       -3.475999        0.5651
BFGS:   26 19:21:56       -3.523932        0.5592
BFGS:   27 19:21:56       -3.561629        0.4812
BFGS:   28 19:21:56       -3.582356        0.4757
BFGS:   29 19:21:56       -3.594818        0.5256
BFGS:   30 19:21:56       -3.610447        0.4650
BFGS:   31 19:21:56       -3.646484        0.4880
BFGS:   32 19:21:56       -3.711511        0.5239
BFGS:   33 19:21:56       -3.759195        0.4395
BFGS:   34 19:21:56       -3.775928        0.3671
BFGS:   35 19:21:56       -3.783855        0.4885
BFGS:   36 19:21:56       -3.790241        0.2973
BFGS:   37 19:21:56       -3.793444        0.2782
BFGS:   38 19:21:56       -3.794810        0.2635
BFGS:   39 19:21:56       -3.798524        0.2344
BFGS:   40 19:21:56       -3.803083        0.1890
BFGS:   41 19:21:56       -3.805950        0.1813
BFGS:   42 19:21:56       -3.806879        0.1631
BFGS:   43 19:21:56       -3.807808        0.1382
