       Step     Time          Energy         fmax
       Step     Time          Energy         fmax
GPMin:    0 21:08:43       -3.983563        0.3402
GPMin:    1 21:08:49       -4.229996        0.2873
GPMin:    2 21:08:54       -4.375287        0.2321
GPMin:    3 21:08:59       -4.447406        0.1366
GPMin:    4 21:09:05       -4.464037        0.0670
GPMin:    5 21:09:09       -4.473854        0.0854
GPMin:    6 21:09:14       -4.502664        0.0978
GPMin:    7 21:09:19       -4.555541        0.1167
GPMin:    8 21:09:24       -4.621343        0.1450
GPMin:    9 21:09:29       -4.692272        0.1598
GPMin:   10 21:09:34       -4.753561        0.1431
GPMin:   11 21:09:39       -4.796294        0.1011
GPMin:   12 21:09:44       -4.819716        0.0930
GPMin:   13 21:09:49       -4.834196        0.1169
GPMin:   14 21:09:54       -4.856771        0.1011
GPMin:   15 21:09:58       -4.878021        0.0676
GPMin:   16 21:10:03       -4.893247        0.0575
GPMin:   17 21:10:08       -4.905546        0.0595
GPMin:   18 21:10:12       -4.916463        0.0553
GPMin:   19 21:10:17       -4.925220        0.0391
GPMin:   20 21:10:21       -4.929260        0.0247
GPMin:   21 21:10:25       -4.930607        0.0348
GPMin:   22 21:10:29       -4.932751        0.0217
GPMin:   23 21:10:32       -4.933137        0.0141
       Step     Time          Energy         fmax
GPMin:    0 21:10:41       -4.427533        0.2282
GPMin:    1 21:10:48       -4.513901        0.1127
GPMin:    2 21:10:53       -4.543855        0.0625
GPMin:    3 21:10:58       -4.561429        0.0655
GPMin:    4 21:11:04       -4.590171        0.0757
GPMin:    5 21:11:10       -4.633017        0.0814
GPMin:    6 21:11:15       -4.681950        0.0893
GPMin:    7 21:11:21       -4.725687        0.0914
GPMin:    8 21:11:26       -4.763890        0.0881
GPMin:    9 21:11:31       -4.804113        0.0850
GPMin:   10 21:11:36       -4.837655        0.0766
GPMin:   11 21:11:41       -4.864411        0.0623
GPMin:   12 21:11:45       -4.889240        0.0651
GPMin:   13 21:11:50       -4.907475        0.0533
GPMin:   14 21:11:55       -4.920432        0.0393
GPMin:   15 21:11:59       -4.927696        0.0320
GPMin:   16 21:12:03       -4.932181        0.0214
GPMin:   17 21:12:07       -4.933260        0.0140
       Step     Time          Energy         fmax
GPMin:    0 21:12:15       -4.365264        0.6123
GPMin:    1 21:12:21       -4.568335        0.2040
GPMin:    2 21:12:26       -4.651499        0.1468
GPMin:    3 21:12:31       -4.701269        0.1089
GPMin:    4 21:12:36       -4.728821        0.1000
GPMin:    5 21:12:41       -4.752157        0.0951
