       Step     Time          Energy         fmax
GPMin:    0 22:52:11       -5.197908        1.4206
GPMin:    1 22:52:19       -6.299176        0.7721
GPMin:    2 22:52:26       -6.786803        0.4241
GPMin:    3 22:52:34       -7.012066        0.2055
GPMin:    4 22:52:41       -7.090193        0.0765
GPMin:    5 22:52:48       -7.101702        0.0507
GPMin:    6 22:52:54       -7.102641        0.0541
GPMin:    7 22:53:00       -7.107304        0.0271
GPMin:    8 22:53:06       -7.109011        0.0247
GPMin:    9 22:53:12       -7.110463        0.0210
GPMin:   10 22:53:18       -7.111332        0.0072
       Step     Time          Energy         fmax
GPMin:    0 22:53:30       -4.947962        1.4752
GPMin:    1 22:53:38       -6.042146        0.7839
GPMin:    2 22:53:45       -6.519569        0.4169
GPMin:    3 22:53:53       -6.736545        0.2370
GPMin:    4 22:54:00       -6.814277        0.1520
GPMin:    5 22:54:07       -6.832066        0.1037
GPMin:    6 22:54:14       -6.838294        0.0845
GPMin:    7 22:54:20       -6.856608        0.0907
GPMin:    8 22:54:26       -6.875366        0.0977
GPMin:    9 22:54:32       -6.894399        0.1157
GPMin:   10 22:54:39       -6.915900        0.1254
GPMin:   11 22:54:46       -6.944740        0.1281
GPMin:   12 22:54:53       -6.978445        0.1205
GPMin:   13 22:54:59       -7.017611        0.1131
GPMin:   14 22:55:06       -7.057688        0.1328
GPMin:   15 22:55:13       -7.103108        0.1399
GPMin:   16 22:55:20       -7.146172        0.1295
GPMin:   17 22:55:26       -7.182557        0.0940
GPMin:   18 22:55:32       -7.202986        0.0538
GPMin:   19 22:55:38       -7.209255        0.0476
GPMin:   20 22:55:44       -7.210875        0.0381
GPMin:   21 22:55:50       -7.213088        0.0261
GPMin:   22 22:55:55       -7.213523        0.0141
       Step     Time          Energy         fmax
GPMin:    0 22:56:06       -5.096514        1.5430
GPMin:    1 22:56:14       -6.179756        0.8139
GPMin:    2 22:56:21       -6.651821        0.4449
GPMin:    3 22:56:29       -6.862889        0.2248
