       Step     Time          Energy         fmax
GPMin:    0 23:41:21       -6.644961        0.1867
GPMin:    1 23:41:27       -6.775186        0.1559
GPMin:    2 23:41:33       -6.843010        0.0591
GPMin:    3 23:41:39       -6.849600        0.0138
       Step     Time          Energy         fmax
GPMin:    0 23:41:50       -6.958604        0.5410
GPMin:    1 23:41:58       -7.153669        0.1753
GPMin:    2 23:42:06       -7.201905        0.1293
GPMin:    3 23:42:13       -7.236369        0.0662
GPMin:    4 23:42:20       -7.245283        0.0398
GPMin:    5 23:42:26       -7.251784        0.0362
GPMin:    6 23:42:32       -7.257403        0.0466
GPMin:    7 23:42:38       -7.267933        0.0342
GPMin:    8 23:42:45       -7.275879        0.0266
GPMin:    9 23:42:51       -7.279554        0.0161
       Step     Time          Energy         fmax
GPMin:    0 23:43:01       -6.393270        0.8359
GPMin:    1 23:43:09       -6.689702        0.2703
GPMin:    2 23:43:17       -6.785904        0.2470
GPMin:    3 23:43:24       -6.881577        0.2270
GPMin:    4 23:43:31       -6.965527        0.1833
GPMin:    5 23:43:37       -7.028066        0.1550
GPMin:    6 23:43:44       -7.065397        0.1349
GPMin:    7 23:43:51       -7.088886        0.0953
GPMin:    8 23:43:57       -7.101404        0.0475
GPMin:    9 23:44:03       -7.105456        0.0357
GPMin:   10 23:44:09       -7.108721        0.0312
GPMin:   11 23:44:15       -7.111078        0.0241
GPMin:   12 23:44:21       -7.112791        0.0176
       Step     Time          Energy         fmax
GPMin:    0 23:44:32       -7.104235        0.3246
GPMin:    1 23:44:39       -7.202505        0.0915
GPMin:    2 23:44:46       -7.216346        0.0243
GPMin:    3 23:44:52       -7.218937        0.0261
GPMin:    4 23:44:59       -7.223850        0.0493
GPMin:    5 23:45:06       -7.236041        0.0288
GPMin:    6 23:45:13       -7.242630        0.0231
GPMin:    7 23:45:19       -7.246616        0.0271
GPMin:    8 23:45:26       -7.254934        0.0346
GPMin:    9 23:45:32       -7.268438        0.0340
GPMin:   10 23:45:39       -7.278221        0.0152
       Step     Time          Energy         fmax
GPMin:    0 23:45:51       -6.226514        0.5025
GPMin:    1 23:46:00       -6.431712        0.2793
GPMin:    2 23:46:08       -6.516992        0.2038
GPMin:    3 23:46:15       -6.593379        0.1703
GPMin:    4 23:46:22       -6.662587        0.1739
GPMin:    5 23:46:29       -6.731330        0.1789
GPMin:    6 23:46:36       -6.816088        0.1873
GPMin:    7 23:46:43       -6.872359        0.1744
GPMin:    8 23:46:50       -6.919488        0.1333
GPMin:    9 23:46:56       -6.953561        0.0783
GPMin:   10 23:47:03       -6.972141        0.1055
GPMin:   11 23:47:10       -6.999683        0.1069
GPMin:   12 23:47:16       -7.032500        0.0813
GPMin:   13 23:47:23       -7.060186        0.0808
GPMin:   14 23:47:30       -7.082353        0.0653
GPMin:   15 23:47:36       -7.095925        0.0612
GPMin:   16 23:47:43       -7.102407        0.0594
GPMin:   17 23:47:50       -7.109395        0.0585
GPMin:   18 23:47:57       -7.122723        0.0596
GPMin:   19 23:48:03       -7.141518        0.0608
GPMin:   20 23:48:10       -7.159371        0.0543
GPMin:   21 23:48:17       -7.176698        0.0660
GPMin:   22 23:48:23       -7.192987        0.0783
GPMin:   23 23:48:29       -7.211124        0.0819
GPMin:   24 23:48:36       -7.232085        0.0828
GPMin:   25 23:48:43       -7.254594        0.0652
GPMin:   26 23:48:50       -7.270466        0.0460
GPMin:   27 23:48:56       -7.276976        0.0385
GPMin:   28 23:49:02       -7.278795        0.0299
GPMin:   29 23:49:08       -7.280167        0.0182
       Step     Time          Energy         fmax
GPMin:    0 23:49:20       -6.327128        0.6059
GPMin:    1 23:49:29       -6.587498        0.2270
GPMin:    2 23:49:37       -6.710234        0.2271
GPMin:    3 23:49:44       -6.799994        0.2305
GPMin:    4 23:49:51       -6.878466        0.2196
GPMin:    5 23:49:58       -6.948742        0.1959
GPMin:    6 23:50:05       -7.009134        0.1535
GPMin:    7 23:50:12       -7.067284        0.1064
GPMin:    8 23:50:19       -7.109660        0.1156
GPMin:    9 23:50:26       -7.148683        0.1043
GPMin:   10 23:50:32       -7.184844        0.0811
GPMin:   11 23:50:38       -7.211034        0.0698
GPMin:   12 23:50:43       -7.226014        0.0502
GPMin:   13 23:50:49       -7.233801        0.0349
GPMin:   14 23:50:55       -7.236522        0.0270
GPMin:   15 23:51:01       -7.238752        0.0222
GPMin:   16 23:51:07       -7.239729        0.0162
       Step     Time          Energy         fmax
GPMin:    0 23:51:20       -6.079847        0.3819
GPMin:    1 23:51:29       -6.323908        0.3333
GPMin:    2 23:51:38       -6.499761        0.3511
GPMin:    3 23:51:47       -6.656400        0.3508
GPMin:    4 23:51:55       -6.782583        0.3276
GPMin:    5 23:52:01       -6.882650        0.2805
GPMin:    6 23:52:09       -6.980613        0.1609
GPMin:    7 23:52:15       -7.014066        0.1155
GPMin:    8 23:52:22       -7.035845        0.1018
GPMin:    9 23:52:28       -7.057277        0.0884
GPMin:   10 23:52:34       -7.074377        0.0807
GPMin:   11 23:52:41       -7.087912        0.0629
GPMin:   12 23:52:47       -7.095521        0.0423
GPMin:   13 23:52:53       -7.099497        0.0362
GPMin:   14 23:52:59       -7.101900        0.0293
GPMin:   15 23:53:05       -7.104131        0.0256
GPMin:   16 23:53:11       -7.105515        0.0244
GPMin:   17 23:53:17       -7.107730        0.0345
GPMin:   18 23:53:23       -7.110091        0.0257
GPMin:   19 23:53:30       -7.112212        0.0252
GPMin:   20 23:53:36       -7.113934        0.0230
GPMin:   21 23:53:42       -7.115439        0.0176
       Step     Time          Energy         fmax
GPMin:    0 23:53:53       -6.859803        0.8196
GPMin:    1 23:54:01       -7.147952        0.1835
GPMin:    2 23:54:08       -7.200699        0.1746
GPMin:    3 23:54:15       -7.233028        0.1368
GPMin:    4 23:54:22       -7.260410        0.0531
GPMin:    5 23:54:28       -7.266925        0.0427
GPMin:    6 23:54:34       -7.274088        0.0279
GPMin:    7 23:54:40       -7.276645        0.0281
GPMin:    8 23:54:46       -7.279164        0.0170
       Step     Time          Energy         fmax
GPMin:    0 23:54:57       -6.615192        0.3116
GPMin:    1 23:55:04       -6.840686        0.2392
GPMin:    2 23:55:12       -6.964381        0.1975
GPMin:    3 23:55:18       -7.034736        0.1199
GPMin:    4 23:55:25       -7.061406        0.0802
GPMin:    5 23:55:31       -7.076222        0.0659
GPMin:    6 23:55:37       -7.088940        0.0584
GPMin:    7 23:55:43       -7.100846        0.0592
GPMin:    8 23:55:50       -7.116982        0.0864
GPMin:    9 23:55:56       -7.141359        0.0996
GPMin:   10 23:56:03       -7.174163        0.1045
GPMin:   11 23:56:10       -7.209047        0.1011
GPMin:   12 23:56:16       -7.245663        0.0797
GPMin:   13 23:56:23       -7.271102        0.0420
GPMin:   14 23:56:29       -7.278215        0.0316
GPMin:   15 23:56:34       -7.280097        0.0215
GPMin:   16 23:56:40       -7.280918        0.0077
       Step     Time          Energy         fmax
GPMin:    0 23:56:52       -5.762268        0.3660
GPMin:    1 23:57:00       -6.002387        0.1516
GPMin:    2 23:57:06       -6.098195        0.1231
GPMin:    3 23:57:13       -6.145551        0.0997
GPMin:    4 23:57:19       -6.170369        0.0923
GPMin:    5 23:57:26       -6.187778        0.0793
GPMin:    6 23:57:34       -6.224140        0.1729
GPMin:    7 23:57:40       -6.240500        0.0976
GPMin:    8 23:57:46       -6.249141        0.0982
GPMin:    9 23:57:54       -6.275998        0.0406
GPMin:   10 23:57:59       -6.280840        0.0387
GPMin:   11 23:58:05       -6.282788        0.0264
GPMin:   12 23:58:19       -6.284582        0.0295
GPMin:   13 23:58:26       -6.288251        0.0313
GPMin:   14 23:58:40       -6.290089        0.0267
GPMin:   15 23:58:52       -6.299700        0.0605
GPMin:   16 23:58:58       -6.312673        0.0709
GPMin:   17 23:59:04       -6.335835        0.0857
GPMin:   18 23:59:11       -6.379986        0.1207
GPMin:   19 23:59:17       -6.439972        0.1386
GPMin:   20 23:59:24       -6.505220        0.1280
GPMin:   21 23:59:31       -6.559830        0.1074
GPMin:   22 23:59:37       -6.596391        0.0821
GPMin:   23 23:59:44       -6.620376        0.0780
GPMin:   24 23:59:50       -6.640669        0.0634
GPMin:   25 23:59:57       -6.654121        0.0443
GPMin:   26 00:00:03       -6.659657        0.0344
GPMin:   27 00:00:09       -6.661783        0.0223
GPMin:   28 00:00:14       -6.663071        0.0218
GPMin:   29 00:00:20       -6.664834        0.0261
GPMin:   30 00:00:26       -6.667877        0.0315
GPMin:   31 00:00:32       -6.672760        0.0269
GPMin:   32 00:00:38       -6.678013        0.0256
GPMin:   33 00:00:44       -6.684998        0.0378
GPMin:   34 00:00:50       -6.695083        0.0372
GPMin:   35 00:00:56       -6.708329        0.0453
GPMin:   36 00:01:02       -6.726242        0.0563
GPMin:   37 00:01:09       -6.748178        0.0573
GPMin:   38 00:01:16       -6.773173        0.0632
GPMin:   39 00:01:23       -6.797186        0.0707
GPMin:   40 00:01:29       -6.821488        0.0714
GPMin:   41 00:01:36       -6.844916        0.0703
GPMin:   42 00:01:43       -6.867480        0.0702
GPMin:   43 00:01:50       -6.887450        0.0650
GPMin:   44 00:01:56       -6.905739        0.0690
GPMin:   45 00:02:02       -6.917958        0.0754
GPMin:   46 00:02:08       -6.931961        0.0841
GPMin:   47 00:02:15       -6.950631        0.0965
GPMin:   48 00:02:21       -6.976284        0.1035
GPMin:   49 00:02:27       -7.003493        0.1071
GPMin:   50 00:02:34       -7.031981        0.1075
GPMin:   51 00:02:40       -7.063480        0.1033
GPMin:   52 00:02:47       -7.093925        0.0835
GPMin:   53 00:02:54       -7.119723        0.0568
GPMin:   54 00:03:01       -7.130475        0.0428
GPMin:   55 00:03:07       -7.134728        0.0409
GPMin:   56 00:03:13       -7.137391        0.0342
GPMin:   57 00:03:19       -7.139125        0.0261
GPMin:   58 00:03:25       -7.140364        0.0202
GPMin:   59 00:03:31       -7.140913        0.0133
       Step     Time          Energy         fmax
GPMin:    0 00:03:42       -6.713218        0.2652
GPMin:    1 00:03:49       -6.877953        0.1620
GPMin:    2 00:03:56       -6.956586        0.1252
GPMin:    3 00:04:03       -7.016475        0.1076
GPMin:    4 00:04:10       -7.079797        0.1116
GPMin:    5 00:04:17       -7.134421        0.0858
GPMin:    6 00:04:23       -7.174682        0.0809
GPMin:    7 00:04:30       -7.204032        0.0739
GPMin:    8 00:04:37       -7.230885        0.0645
GPMin:    9 00:04:43       -7.252808        0.0525
GPMin:   10 00:04:50       -7.266941        0.0387
GPMin:   11 00:04:55       -7.272681        0.0305
GPMin:   12 00:05:01       -7.275428        0.0255
GPMin:   13 00:05:07       -7.278440        0.0200
       Step     Time          Energy         fmax
GPMin:    0 00:05:17       -6.571457        0.8400
GPMin:    1 00:05:26       -6.910732        0.3204
GPMin:    2 00:05:34       -7.035844        0.1950
GPMin:    3 00:05:41       -7.110160        0.1227
GPMin:    4 00:05:48       -7.148700        0.1297
GPMin:    5 00:05:55       -7.190462        0.1150
GPMin:    6 00:06:01       -7.219987        0.0932
GPMin:    7 00:06:08       -7.234552        0.0584
GPMin:    8 00:06:15       -7.239864        0.0352
GPMin:    9 00:06:21       -7.241215        0.0271
GPMin:   10 00:06:27       -7.242006        0.0169
       Step     Time          Energy         fmax
GPMin:    0 00:06:37       -7.022941        0.1601
GPMin:    1 00:06:46       -7.081968        0.1805
GPMin:    2 00:06:54       -7.091061        0.1936
GPMin:    3 00:07:01       -7.101362        0.0737
GPMin:    4 00:07:08       -7.108615        0.0438
GPMin:    5 00:07:15       -7.109105        0.0419
GPMin:    6 00:07:20       -7.110950        0.0072
       Step     Time          Energy         fmax
GPMin:    0 00:07:33       -6.556972        0.6201
GPMin:    1 00:07:41       -6.787561        0.1526
GPMin:    2 00:07:49       -6.834027        0.1424
GPMin:    3 00:07:56       -6.868807        0.0962
GPMin:    4 00:08:03       -6.898046        0.1018
GPMin:    5 00:08:10       -6.929331        0.1175
GPMin:    6 00:08:17       -6.967951        0.1068
GPMin:    7 00:08:24       -7.014628        0.0862
GPMin:    8 00:08:31       -7.066252        0.0909
GPMin:    9 00:08:38       -7.114187        0.0902
GPMin:   10 00:08:44       -7.154361        0.0819
GPMin:   11 00:08:51       -7.182447        0.0619
GPMin:   12 00:08:58       -7.200222        0.0607
GPMin:   13 00:09:04       -7.212754        0.0635
GPMin:   14 00:09:11       -7.229525        0.0689
