      Step     Time          Energy         fmax
BFGS:    0 20:06:33       13.056017       35.0027
BFGS:    1 20:06:33        0.963458       11.5567
BFGS:    2 20:06:33       -1.558294        7.8420
BFGS:    3 20:06:33       -2.985908        2.6775
BFGS:    4 20:06:33       -3.366385        1.2650
BFGS:    5 20:06:33       -3.502758        0.4767
BFGS:    6 20:06:33       -3.532811        0.3597
BFGS:    7 20:06:33       -3.543393        0.3435
BFGS:    8 20:06:33       -3.555253        0.3475
BFGS:    9 20:06:33       -3.573329        0.3940
BFGS:   10 20:06:33       -3.590003        0.4217
BFGS:   11 20:06:33       -3.606379        0.4051
BFGS:   12 20:06:33       -3.621342        0.4437
BFGS:   13 20:06:33       -3.630845        0.4341
BFGS:   14 20:06:33       -3.670731        0.4412
BFGS:   15 20:06:33       -3.703044        0.7213
BFGS:   16 20:06:33       -3.767221        1.1380
BFGS:   17 20:06:33       -3.819216        1.4048
BFGS:   18 20:06:33       -3.884343        1.0153
BFGS:   19 20:06:33       -3.947751        0.9104
BFGS:   20 20:06:33       -4.067267        0.7503
BFGS:   21 20:06:33       -4.118148        1.0081
BFGS:   22 20:06:33       -4.138829        0.3092
BFGS:   23 20:06:33       -4.146327        0.3730
BFGS:   24 20:06:33       -4.157520        0.3979
BFGS:   25 20:06:33       -4.168840        0.3232
BFGS:   26 20:06:33       -4.182047        0.4071
BFGS:   27 20:06:33       -4.197134        0.5645
BFGS:   28 20:06:33       -4.240676        0.9563
BFGS:   29 20:06:33       -4.284014        1.1583
BFGS:   30 20:06:33       -4.325734        0.8723
BFGS:   31 20:06:33       -4.470290        0.4363
BFGS:   32 20:06:33       -4.482751        0.4612
BFGS:   33 20:06:33       -4.475362        0.7934
BFGS:   34 20:06:33       -4.500523        0.3656
BFGS:   35 20:06:33       -4.514362        0.3416
BFGS:   36 20:06:33       -4.573395        0.5242
BFGS:   37 20:06:33       -4.605180        0.5534
BFGS:   38 20:06:33       -4.666769        0.7684
BFGS:   39 20:06:33       -4.687992        0.6515
BFGS:   40 20:06:33       -4.751858        0.4253
BFGS:   41 20:06:33       -4.764152        0.5370
BFGS:   42 20:06:33       -4.801032        0.2685
BFGS:   43 20:06:33       -4.810836        0.1729
BFGS:   44 20:06:33       -4.814278        0.1221
BFGS:   45 20:06:33       -4.815085        0.1039
BFGS:   46 20:06:33       -4.817441        0.0755
BFGS:   47 20:06:33       -4.818017        0.0648
BFGS:   48 20:06:33       -4.818464        0.0500
      Step     Time          Energy         fmax
BFGS:    0 20:06:33       12.955421       36.9387
BFGS:    1 20:06:33        0.896733       11.8726
BFGS:    2 20:06:33       -1.837221        6.9008
BFGS:    3 20:06:33       -3.022893        2.8354
BFGS:    4 20:06:33       -3.407216        1.3818
BFGS:    5 20:06:33       -3.540218        0.6638
BFGS:    6 20:06:33       -3.573401        0.4724
BFGS:    7 20:06:33       -3.592585        0.5272
BFGS:    8 20:06:33       -3.627748        0.6305
BFGS:    9 20:06:33       -3.709876        0.8127
BFGS:   10 20:06:33       -3.800629        1.2271
BFGS:   11 20:06:33       -3.874614        0.9611
BFGS:   12 20:06:33       -3.973223        1.7108
BFGS:   13 20:06:33       -4.035645        0.6838
BFGS:   14 20:06:33       -4.082812        0.6712
BFGS:   15 20:06:33       -4.185555        0.7207
BFGS:   16 20:06:33       -4.218550        0.4614
BFGS:   17 20:06:33       -4.240947        0.5025
BFGS:   18 20:06:33       -4.275322        0.5988
BFGS:   19 20:06:33       -4.323165        0.5718
BFGS:   20 20:06:33       -4.363069        0.7161
BFGS:   21 20:06:33       -4.406145        0.5188
BFGS:   22 20:06:33       -4.417552        0.4136
BFGS:   23 20:06:33       -4.426805        0.3778
BFGS:   24 20:06:33       -4.436874        0.3078
BFGS:   25 20:06:33       -4.442079        0.2458
BFGS:   26 20:06:33       -4.445607        0.2054
BFGS:   27 20:06:33       -4.450504        0.1962
BFGS:   28 20:06:33       -4.457927        0.2230
BFGS:   29 20:06:33       -4.467292        0.2907
BFGS:   30 20:06:33       -4.476358        0.3407
BFGS:   31 20:06:33       -4.488609        0.4302
BFGS:   32 20:06:33       -4.529413        0.8174
BFGS:   33 20:06:33       -4.531222        1.5053
BFGS:   34 20:06:33       -4.613914        0.6375
BFGS:   35 20:06:33       -4.664693        0.6216
BFGS:   36 20:06:33       -4.756545        1.2228
BFGS:   37 20:06:33       -4.805933        0.4404
BFGS:   38 20:06:33       -4.829281        0.3205
BFGS:   39 20:06:33       -4.839116        0.3549
BFGS:   40 20:06:33       -4.843786        0.2866
BFGS:   41 20:06:33       -4.859940        0.2352
BFGS:   42 20:06:33       -4.869616        0.2129
BFGS:   43 20:06:33       -4.878095        0.2912
BFGS:   44 20:06:33       -4.882034        0.2889
BFGS:   45 20:06:33       -4.888833        0.2585
BFGS:   46 20:06:33       -4.898051        0.2972
BFGS:   47 20:06:33       -4.917398        0.5169
BFGS:   48 20:06:33       -4.965541        0.9819
BFGS:   49 20:06:33       -5.012022        1.5496
BFGS:   50 20:06:33       -5.094021        1.5374
BFGS:   51 20:06:33       -5.191737        1.4414
BFGS:   52 20:06:33       -5.185590        1.6405
BFGS:   53 20:06:33       -5.374968        1.1684
BFGS:   54 20:06:33       -5.340987        1.6064
BFGS:   55 20:06:33       -5.477147        0.8263
BFGS:   56 20:06:33       -5.504201        0.6114
BFGS:   57 20:06:33       -5.532711        0.6141
BFGS:   58 20:06:33       -5.601430        0.8567
BFGS:   59 20:06:33       -5.622349        0.5755
BFGS:   60 20:06:33       -5.632682        0.4441
BFGS:   61 20:06:33       -5.638967        0.3296
BFGS:   62 20:06:33       -5.641663        0.2666
BFGS:   63 20:06:33       -5.644151        0.2023
BFGS:   64 20:06:33       -5.645388        0.1715
BFGS:   65 20:06:33       -5.646525        0.1540
BFGS:   66 20:06:33       -5.647836        0.1466
BFGS:   67 20:06:33       -5.649457        0.1133
BFGS:   68 20:06:33       -5.650710        0.0793
BFGS:   69 20:06:33       -5.651276        0.0626
BFGS:   70 20:06:33       -5.651521        0.0462
      Step     Time          Energy         fmax
BFGS:    0 20:06:33       13.107571       25.7222
BFGS:    1 20:06:33        0.470160       17.6810
BFGS:    2 20:06:33       -1.811697        6.8919
BFGS:    3 20:06:33       -2.741832        3.0441
BFGS:    4 20:06:33       -3.174481        1.6046
BFGS:    5 20:06:33       -3.374469        0.7520
BFGS:    6 20:06:33       -3.428212        0.5215
BFGS:    7 20:06:33       -3.449356        0.5587
BFGS:    8 20:06:33       -3.472315        0.6129
BFGS:    9 20:06:33       -3.518415        0.7172
BFGS:   10 20:06:33       -3.602664        0.9007
BFGS:   11 20:06:33       -3.681649        1.4428
BFGS:   12 20:06:33       -3.781744        1.5693
BFGS:   13 20:06:33       -3.958701        1.2363
BFGS:   14 20:06:33       -4.015556        0.6118
BFGS:   15 20:06:33       -4.049162        0.5437
BFGS:   16 20:06:33       -4.089590        0.6496
BFGS:   17 20:06:33       -4.125759        0.7817
BFGS:   18 20:06:33       -4.174660        0.8817
BFGS:   19 20:06:33       -4.209915        0.8409
BFGS:   20 20:06:33       -4.253929        0.7878
BFGS:   21 20:06:33       -4.335087        0.8638
BFGS:   22 20:06:33       -4.405022        1.1777
BFGS:   23 20:06:33       -4.437440        0.7994
BFGS:   24 20:06:33       -4.474175        0.7392
BFGS:   25 20:06:33       -4.619656        0.9959
BFGS:   26 20:06:33       -4.649510        0.5325
BFGS:   27 20:06:33       -4.669637        0.4977
BFGS:   28 20:06:33       -4.679712        0.5031
BFGS:   29 20:06:33       -4.702429        0.3860
BFGS:   30 20:06:33       -4.719390        0.1543
BFGS:   31 20:06:33       -4.723811        0.1278
BFGS:   32 20:06:33       -4.724657        0.1176
BFGS:   33 20:06:33       -4.725725        0.1053
BFGS:   34 20:06:33       -4.727046        0.0929
BFGS:   35 20:06:33       -4.728666        0.0801
BFGS:   36 20:06:33       -4.729574        0.0887
BFGS:   37 20:06:33       -4.729939        0.0833
BFGS:   38 20:06:33       -4.730247        0.0769
BFGS:   39 20:06:33       -4.730842        0.0633
