       Step     Time          Energy         fmax
GPMin:    0 21:23:43       -3.666290        0.2626
GPMin:    1 21:23:52       -3.846132        0.2808
GPMin:    2 21:24:00       -4.007190        0.3269
GPMin:    3 21:24:07       -4.127193        0.3294
GPMin:    4 21:24:14       -4.254120        0.2925
GPMin:    5 21:24:20       -4.320793        0.2594
GPMin:    6 21:24:26       -4.393018        0.2278
GPMin:    7 21:24:32       -4.456193        0.2173
GPMin:    8 21:24:38       -4.511966        0.1992
GPMin:    9 21:24:44       -4.562727        0.1699
GPMin:   10 21:24:51       -4.619863        0.1450
GPMin:   11 21:24:56       -4.658061        0.1268
GPMin:   12 21:25:03       -4.702365        0.1217
GPMin:   13 21:25:09       -4.741590        0.1278
GPMin:   14 21:25:15       -4.777357        0.1227
GPMin:   15 21:25:21       -4.812551        0.1036
GPMin:   16 21:25:27       -4.839456        0.0891
GPMin:   17 21:25:32       -4.856298        0.0854
GPMin:   18 21:25:37       -4.869108        0.0837
GPMin:   19 21:25:42       -4.884823        0.0733
GPMin:   20 21:25:48       -4.901162        0.0577
GPMin:   21 21:25:53       -4.912780        0.0506
GPMin:   22 21:25:58       -4.920272        0.0489
GPMin:   23 21:26:03       -4.925602        0.0430
GPMin:   24 21:26:08       -4.929081        0.0309
GPMin:   25 21:26:13       -4.930667        0.0241
GPMin:   26 21:26:18       -4.931921        0.0304
GPMin:   27 21:26:22       -4.932832        0.0220
GPMin:   28 21:26:27       -4.933520        0.0144
       Step     Time          Energy         fmax
GPMin:    0 21:26:36       -4.128263        0.6815
GPMin:    1 21:26:43       -4.332300        0.1321
GPMin:    2 21:26:49       -4.360042        0.1239
GPMin:    3 21:26:55       -4.390310        0.0921
GPMin:    4 21:27:01       -4.410714        0.0456
GPMin:    5 21:27:06       -4.424538        0.0347
GPMin:    6 21:27:11       -4.434792        0.0295
GPMin:    7 21:27:17       -4.442415        0.0259
GPMin:    8 21:27:22       -4.446806        0.0270
GPMin:    9 21:27:28       -4.458103        0.0222
GPMin:   10 21:27:33       -4.460028        0.0293
GPMin:   11 21:27:38       -4.462668        0.0172
       Step     Time          Energy         fmax
GPMin:    0 21:27:48       -4.561152        0.3189
GPMin:    1 21:27:55       -4.702679        0.2089
GPMin:    2 21:28:02       -4.771118        0.0972
GPMin:    3 21:28:08       -4.783178        0.0719
GPMin:    4 21:28:14       -4.789047        0.0375
GPMin:    5 21:28:19       -4.793178        0.0264
GPMin:    6 21:28:24       -4.795329        0.0181
       Step     Time          Energy         fmax
GPMin:    0 21:28:33       -4.145351        0.3575
GPMin:    1 21:28:41       -4.294716        0.1866
GPMin:    2 21:28:46       -4.358168        0.1538
GPMin:    3 21:28:52       -4.417988        0.1464
GPMin:    4 21:28:58       -4.471317        0.1892
GPMin:    5 21:29:05       -4.545251        0.2194
GPMin:    6 21:29:11       -4.623399        0.1945
GPMin:    7 21:29:18       -4.682824        0.0997
GPMin:    8 21:29:23       -4.703896        0.0758
GPMin:    9 21:29:29       -4.713828        0.0564
GPMin:   10 21:29:35       -4.722874        0.0370
GPMin:   11 21:29:41       -4.730404        0.0451
GPMin:   12 21:29:46       -4.740146        0.0434
GPMin:   13 21:29:52       -4.750698        0.0370
GPMin:   14 21:29:58       -4.760322        0.0411
GPMin:   15 21:30:04       -4.770514        0.0505
GPMin:   16 21:30:10       -4.780910        0.0444
GPMin:   17 21:30:15       -4.789403        0.0374
GPMin:   18 21:30:20       -4.796263        0.0407
GPMin:   19 21:30:25       -4.801989        0.0407
GPMin:   20 21:30:30       -4.809208        0.0382
GPMin:   21 21:30:36       -4.817017        0.0383
GPMin:   22 21:30:42       -4.826854        0.0463
GPMin:   23 21:30:48       -4.837470        0.0487
GPMin:   24 21:30:54       -4.850409        0.0481
GPMin:   25 21:31:00       -4.862749        0.0531
GPMin:   26 21:31:05       -4.871997        0.0520
GPMin:   27 21:31:11       -4.876169        0.0481
GPMin:   28 21:31:16       -4.880779        0.0360
GPMin:   29 21:31:20       -4.885404        0.0235
GPMin:   30 21:31:26       -4.888691        0.0199
       Step     Time          Energy         fmax
GPMin:    0 21:31:36       -4.160321        0.2412
GPMin:    1 21:31:43       -4.310655        0.1719
GPMin:    2 21:31:50       -4.389873        0.1711
GPMin:    3 21:31:56       -4.444676        0.1793
GPMin:    4 21:32:02       -4.509916        0.1631
GPMin:    5 21:32:08       -4.558169        0.1393
GPMin:    6 21:32:15       -4.597224        0.1285
GPMin:    7 21:32:21       -4.649227        0.1197
GPMin:    8 21:32:26       -4.697870        0.1151
GPMin:    9 21:32:32       -4.738064        0.1117
GPMin:   10 21:32:38       -4.769786        0.1062
GPMin:   11 21:32:44       -4.800760        0.0916
GPMin:   12 21:32:50       -4.829249        0.0856
GPMin:   13 21:32:55       -4.854034        0.0765
GPMin:   14 21:33:00       -4.876952        0.0680
GPMin:   15 21:33:05       -4.894399        0.0602
GPMin:   16 21:33:10       -4.910618        0.0530
GPMin:   17 21:33:15       -4.921344        0.0415
GPMin:   18 21:33:20       -4.927661        0.0315
GPMin:   19 21:33:25       -4.930603        0.0263
GPMin:   20 21:33:29       -4.932831        0.0178
       Step     Time          Energy         fmax
GPMin:    0 21:33:39       -4.371248        0.3404
GPMin:    1 21:33:46       -4.497253        0.1693
GPMin:    2 21:33:53       -4.538648        0.0721
GPMin:    3 21:33:59       -4.556159        0.0567
GPMin:    4 21:34:05       -4.571148        0.0544
GPMin:    5 21:34:12       -4.590217        0.0663
GPMin:    6 21:34:18       -4.625058        0.0779
GPMin:    7 21:34:25       -4.670179        0.0901
GPMin:    8 21:34:31       -4.713058        0.0975
GPMin:    9 21:34:36       -4.750007        0.0975
GPMin:   10 21:34:42       -4.787534        0.0870
GPMin:   11 21:34:47       -4.825357        0.0753
GPMin:   12 21:34:53       -4.856522        0.0690
GPMin:   13 21:34:58       -4.884065        0.0665
GPMin:   14 21:35:03       -4.906217        0.0455
GPMin:   15 21:35:08       -4.915891        0.0446
GPMin:   16 21:35:13       -4.924543        0.0486
GPMin:   17 21:35:18       -4.928887        0.0336
