       Step     Time          Energy         fmax
GPMin:    0 20:11:32       -3.373037        1.1901
GPMin:    1 20:11:41       -4.078545        0.5325
GPMin:    2 20:11:47       -4.344875        0.2855
GPMin:    3 20:11:54       -4.455563        0.2443
GPMin:    4 20:12:02       -4.501247        0.2215
GPMin:    5 20:12:09       -4.541130        0.1899
GPMin:    6 20:12:15       -4.554695        0.1764
GPMin:    7 20:12:24       -4.595979        0.2631
GPMin:    8 20:12:32       -4.605949        0.1742
GPMin:    9 20:12:40       -4.656145        0.1630
GPMin:   10 20:12:49       -4.678575        0.1940
GPMin:   11 20:13:06       -4.698861        0.2068
GPMin:   12 20:13:15       -4.753352        0.1218
GPMin:   13 20:13:24       -4.782678        0.1271
GPMin:   14 20:13:31       -4.803056        0.1518
GPMin:   15 20:13:38       -4.826095        0.1278
GPMin:   16 20:13:46       -4.849089        0.0831
GPMin:   17 20:13:53       -4.868579        0.0702
GPMin:   18 20:13:59       -4.885282        0.0684
GPMin:   19 20:14:07       -4.895814        0.0653
GPMin:   20 20:14:14       -4.904607        0.0646
GPMin:   21 20:14:21       -4.914671        0.0544
GPMin:   22 20:14:28       -4.923064        0.0338
GPMin:   23 20:14:34       -4.926854        0.0300
GPMin:   24 20:14:42       -4.929860        0.0289
GPMin:   25 20:14:48       -4.932366        0.0156
       Step     Time          Energy         fmax
GPMin:    0 20:14:57       -3.165062        1.3583
GPMin:    1 20:15:04       -4.007852        0.6046
GPMin:    2 20:15:12       -4.286010        0.2571
GPMin:    3 20:15:20       -4.351979        0.0975
GPMin:    4 20:15:27       -4.361323        0.1264
GPMin:    5 20:15:33       -4.374518        0.1085
GPMin:    6 20:15:41       -4.389535        0.1247
GPMin:    7 20:15:50       -4.422551        0.0789
GPMin:    8 20:15:56       -4.425523        0.0725
GPMin:    9 20:16:26       -4.459174        0.0965
GPMin:   10 20:16:33       -4.463100        0.1000
GPMin:   11 20:16:41       -4.496379        0.1472
GPMin:   12 20:16:49       -4.511467        0.1656
GPMin:   13 20:17:00       -4.622404        0.2295
GPMin:   14 20:17:08       -4.638694        0.2462
GPMin:   15 20:17:16       -4.682758        0.2195
GPMin:   16 20:17:24       -4.733604        0.1568
GPMin:   17 20:17:33       -4.763532        0.1392
GPMin:   18 20:17:42       -4.788628        0.1187
GPMin:   19 20:17:49       -4.806153        0.1055
GPMin:   20 20:17:57       -4.824824        0.0932
GPMin:   21 20:18:05       -4.842240        0.0805
GPMin:   22 20:18:12       -4.856842        0.0668
GPMin:   23 20:18:19       -4.869466        0.0544
GPMin:   24 20:18:24       -4.878387        0.0419
GPMin:   25 20:18:29       -4.882619        0.0332
GPMin:   26 20:18:34       -4.887201        0.0326
GPMin:   27 20:18:39       -4.887977        0.0288
GPMin:   28 20:18:44       -4.889189        0.0230
GPMin:   29 20:18:48       -4.889529        0.0169
       Step     Time          Energy         fmax
GPMin:    0 20:18:58       -3.164689        1.3500
GPMin:    1 20:19:04       -4.009585        0.6031
GPMin:    2 20:19:10       -4.289231        0.2580
GPMin:    3 20:19:16       -4.356357        0.0971
GPMin:    4 20:19:21       -4.365832        0.1260
GPMin:    5 20:19:26       -4.378737        0.1078
GPMin:    6 20:19:32       -4.393915        0.1213
GPMin:    7 20:19:39       -4.429205        0.0671
GPMin:    8 20:19:43       -4.431674        0.0633
GPMin:    9 20:19:57       -4.437264        0.2192
GPMin:   10 20:20:04       -4.465758        0.1373
GPMin:   11 20:20:10       -4.473811        0.1493
GPMin:   12 20:20:17       -4.512209        0.1920
GPMin:   13 20:20:24       -4.517178        0.2591
GPMin:   14 20:20:30       -4.544270        0.2044
GPMin:   15 20:20:36       -4.581377        0.2208
GPMin:   16 20:20:42       -4.617239        0.2025
GPMin:   17 20:20:50       -4.685784        0.2291
GPMin:   18 20:20:56       -4.693530        0.1689
GPMin:   19 20:21:02       -4.730328        0.1439
GPMin:   20 20:21:07       -4.741573        0.1409
GPMin:   21 20:21:13       -4.768508        0.1344
GPMin:   22 20:21:19       -4.795328        0.1208
GPMin:   23 20:21:25       -4.822866        0.1006
GPMin:   24 20:21:31       -4.839211        0.0825
GPMin:   25 20:21:36       -4.849486        0.0794
GPMin:   26 20:21:40       -4.862141        0.0658
GPMin:   27 20:21:45       -4.871561        0.0545
GPMin:   28 20:21:51       -4.877791        0.0407
GPMin:   29 20:21:56       -4.883275        0.0426
GPMin:   30 20:22:01       -4.886753        0.0231
GPMin:   31 20:22:06       -4.887945        0.0224
GPMin:   32 20:22:11       -4.888934        0.0219
GPMin:   33 20:22:16       -4.889595        0.0128
       Step     Time          Energy         fmax
GPMin:    0 20:22:25       -3.172709        1.3439
GPMin:    1 20:22:31       -4.012329        0.5983
GPMin:    2 20:22:37       -4.289319        0.2559
GPMin:    3 20:22:43       -4.355178        0.0967
GPMin:    4 20:22:48       -4.364390        0.1240
GPMin:    5 20:22:53       -4.377775        0.1072
GPMin:    6 20:23:14       -4.399787        0.1087
GPMin:    7 20:23:27       -4.410902        0.0876
GPMin:    8 20:23:46       -4.427192        0.1503
GPMin:    9 20:23:52       -4.434010        0.1092
GPMin:   10 20:23:57       -4.440027        0.0678
GPMin:   11 20:24:17       -4.456713        0.1391
GPMin:   12 20:24:30       -4.465633        0.0619
GPMin:   13 20:24:44       -4.466013        0.1348
GPMin:   14 20:24:51       -4.528087        0.2131
GPMin:   15 20:24:57       -4.566958        0.2197
GPMin:   16 20:25:03       -4.589762        0.2154
GPMin:   17 20:25:10       -4.695777        0.1596
GPMin:   18 20:25:17       -4.721787        0.2860
GPMin:   19 20:25:23       -4.746977        0.3401
GPMin:   20 20:25:29       -4.800012        0.2229
GPMin:   21 20:25:35       -4.830873        0.1058
GPMin:   22 20:25:40       -4.840809        0.1064
GPMin:   23 20:25:45       -4.850036        0.1072
GPMin:   24 20:25:50       -4.865724        0.0654
GPMin:   25 20:25:56       -4.872993        0.0588
GPMin:   26 20:26:01       -4.877616        0.0485
GPMin:   27 20:26:06       -4.882872        0.0346
GPMin:   28 20:26:11       -4.885171        0.0233
GPMin:   29 20:26:15       -4.886520        0.0278
GPMin:   30 20:26:20       -4.888674        0.0172
       Step     Time          Energy         fmax
GPMin:    0 20:26:29       -3.168002        1.3557
GPMin:    1 20:26:36       -4.011063        0.6048
GPMin:    2 20:26:42       -4.289391        0.2573
GPMin:    3 20:26:48       -4.356022        0.0974
GPMin:    4 20:26:53       -4.365410        0.1257
GPMin:    5 20:26:58       -4.378421        0.1076
GPMin:    6 20:27:04       -4.393752        0.1281
GPMin:    7 20:27:10       -4.414629        0.0992
GPMin:    8 20:27:16       -4.434285        0.0740
GPMin:    9 20:27:20       -4.435837        0.0691
GPMin:   10 20:27:25       -4.443135        0.0587
GPMin:   11 20:27:30       -4.449168        0.0715
GPMin:   12 20:27:53       -4.456478        0.0811
GPMin:   13 20:28:07       -4.463478        0.0949
GPMin:   14 20:28:14       -4.490379        0.1471
GPMin:   15 20:28:19       -4.503369        0.1650
GPMin:   16 20:28:26       -4.643116        0.2186
GPMin:   17 20:28:33       -4.706806        0.1721
GPMin:   18 20:28:39       -4.733825        0.1846
GPMin:   19 20:28:45       -4.749863        0.1692
GPMin:   20 20:28:51       -4.771646        0.1613
GPMin:   21 20:28:58       -4.801997        0.1645
GPMin:   22 20:29:03       -4.828508        0.1184
GPMin:   23 20:29:09       -4.842017        0.0735
GPMin:   24 20:29:14       -4.850705        0.0855
GPMin:   25 20:29:20       -4.865058        0.0790
GPMin:   26 20:29:25       -4.877274        0.0436
GPMin:   27 20:29:30       -4.882622        0.0573
GPMin:   28 20:29:35       -4.885944        0.0459
GPMin:   29 20:29:39       -4.887663        0.0325
GPMin:   30 20:29:43       -4.888323        0.0256
GPMin:   31 20:29:48       -4.889046        0.0226
GPMin:   32 20:29:52       -4.889295        0.0166
       Step     Time          Energy         fmax
GPMin:    0 20:30:01       -3.174945        1.3471
GPMin:    1 20:30:08       -4.013539        0.6004
GPMin:    2 20:30:14       -4.289619        0.2543
GPMin:    3 20:30:20       -4.355070        0.0971
GPMin:    4 20:30:25       -4.364380        0.1245
GPMin:    5 20:30:30       -4.377697        0.1075
GPMin:    6 20:30:51       -4.400839        0.1106
GPMin:    7 20:31:05       -4.408234        0.1039
GPMin:    8 20:31:24       -4.425752        0.0776
GPMin:    9 20:31:29       -4.431967        0.0929
GPMin:   10 20:31:36       -4.454459        0.0719
GPMin:   11 20:31:42       -4.460834        0.0616
GPMin:   12 20:31:47       -4.462826        0.0593
GPMin:   13 20:31:53       -4.470224        0.0682
GPMin:   14 20:32:00       -4.482535        0.1918
GPMin:   15 20:32:07       -4.519398        0.2063
GPMin:   16 20:32:13       -4.550533        0.2075
GPMin:   17 20:32:19       -4.597012        0.2034
GPMin:   18 20:32:25       -4.626737        0.2027
GPMin:   19 20:32:31       -4.676593        0.2033
GPMin:   20 20:32:37       -4.700820        0.1977
GPMin:   21 20:32:44       -4.792096        0.1202
GPMin:   22 20:32:58       -4.801460        0.1195
GPMin:   23 20:33:03       -4.807925        0.1113
GPMin:   24 20:33:10       -4.831687        0.0880
GPMin:   25 20:33:15       -4.838561        0.0887
GPMin:   26 20:33:20       -4.848853        0.0895
GPMin:   27 20:33:26       -4.861646        0.0720
GPMin:   28 20:33:31       -4.869935        0.0511
GPMin:   29 20:33:36       -4.875662        0.0528
GPMin:   30 20:33:42       -4.884116        0.0295
GPMin:   31 20:33:47       -4.886133        0.0224
GPMin:   32 20:33:53       -4.887335        0.0356
GPMin:   33 20:33:58       -4.888953        0.0213
GPMin:   34 20:34:03       -4.889702        0.0198
       Step     Time          Energy         fmax
GPMin:    0 20:34:15       -2.748707        1.2800
GPMin:    1 20:34:24       -3.448639        0.4870
GPMin:    2 20:34:32       -3.671788        0.2989
GPMin:    3 20:34:39       -3.747718        0.1718
GPMin:    4 20:34:46       -3.772238        0.1364
GPMin:    5 20:34:53       -3.790004        0.1242
GPMin:    6 20:35:00       -3.804398        0.1168
GPMin:    7 20:35:08       -3.859180        0.1234
GPMin:    8 20:35:15       -3.870210        0.2134
GPMin:    9 20:35:21       -3.883195        0.1997
GPMin:   10 20:35:28       -3.915055        0.1233
GPMin:   11 20:35:35       -3.935316        0.1009
GPMin:   12 20:35:42       -3.965604        0.1085
GPMin:   13 20:36:00       -3.982609        0.1115
GPMin:   14 20:36:08       -4.013753        0.1325
GPMin:   15 20:36:15       -4.056350        0.1706
GPMin:   16 20:36:20       -4.079926        0.1868
GPMin:   17 20:36:28       -4.270827        0.2481
GPMin:   18 20:36:34       -4.367419        0.2532
GPMin:   19 20:36:40       -4.409898        0.2548
GPMin:   20 20:36:45       -4.465579        0.2488
GPMin:   21 20:36:51       -4.547619        0.2213
GPMin:   22 20:36:58       -4.604794        0.1875
GPMin:   23 20:37:04       -4.654987        0.1359
GPMin:   24 20:37:10       -4.688013        0.0855
GPMin:   25 20:37:16       -4.701677        0.0788
GPMin:   26 20:37:22       -4.711824        0.0766
GPMin:   27 20:37:28       -4.725321        0.0852
GPMin:   28 20:37:33       -4.740133        0.0838
GPMin:   29 20:37:39       -4.756239        0.0675
GPMin:   30 20:37:44       -4.771007        0.0787
GPMin:   31 20:37:50       -4.785084        0.0902
GPMin:   32 20:37:56       -4.802656        0.0903
GPMin:   33 20:38:01       -4.821803        0.0826
GPMin:   34 20:38:06       -4.842680        0.0765
GPMin:   35 20:38:12       -4.859882        0.0716
GPMin:   36 20:38:17       -4.877563        0.0669
GPMin:   37 20:38:22       -4.892943        0.0632
GPMin:   38 20:38:27       -4.904593        0.0590
GPMin:   39 20:38:32       -4.912400        0.0559
GPMin:   40 20:38:37       -4.919163        0.0503
GPMin:   41 20:38:42       -4.923657        0.0428
GPMin:   42 20:38:47       -4.926358        0.0352
GPMin:   43 20:38:52       -4.930772        0.0327
GPMin:   44 20:38:57       -4.931813        0.0277
GPMin:   45 20:39:02       -4.932665        0.0251
GPMin:   46 20:39:07       -4.933584        0.0209
GPMin:   47 20:39:12       -4.933903        0.0123
       Step     Time          Energy         fmax
GPMin:    0 20:39:22       -3.167925        1.3531
GPMin:    1 20:39:28       -4.010792        0.6045
GPMin:    2 20:39:35       -4.289595        0.2561
GPMin:    3 20:39:41       -4.356038        0.0983
GPMin:    4 20:39:46       -4.365583        0.1265
GPMin:    5 20:39:51       -4.378276        0.1118
GPMin:    6 20:39:57       -4.394192        0.1337
GPMin:    7 20:40:03       -4.415721        0.0988
GPMin:    8 20:40:09       -4.429736        0.0651
GPMin:    9 20:40:14       -4.433627        0.0594
GPMin:   10 20:40:28       -4.441060        0.0582
GPMin:   11 20:40:42       -4.491024        0.2726
GPMin:   12 20:40:48       -4.525055        0.2854
GPMin:   13 20:40:55       -4.553626        0.2834
GPMin:   14 20:41:01       -4.608233        0.2278
GPMin:   15 20:41:07       -4.659976        0.1748
GPMin:   16 20:41:13       -4.705859        0.1448
GPMin:   17 20:41:20       -4.736870        0.1399
GPMin:   18 20:41:26       -4.771210        0.1432
GPMin:   19 20:41:32       -4.791397        0.1392
GPMin:   20 20:41:39       -4.815430        0.1201
GPMin:   21 20:41:45       -4.834637        0.0928
GPMin:   22 20:41:50       -4.846635        0.0762
GPMin:   23 20:41:55       -4.859044        0.0660
GPMin:   24 20:42:00       -4.870101        0.0560
GPMin:   25 20:42:05       -4.876021        0.0456
GPMin:   26 20:42:11       -4.885220        0.0461
GPMin:   27 20:42:16       -4.886976        0.0439
GPMin:   28 20:42:21       -4.888173        0.0315
GPMin:   29 20:42:26       -4.888929        0.0215
