Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0005        -331.1858    -334.6001       3.4143   361.8
0.0010        -331.1866    -334.5302       3.3436   354.3
0.0015        -331.1846    -334.3787       3.1941   338.5
0.0020        -331.1812    -334.1807       2.9995   317.9
0.0025        -331.1776    -333.9938       2.8162   298.5
0.0030        -331.1752    -333.8748       2.6997   286.1
0.0035        -331.1744    -333.8543       2.6800   284.0
0.0040        -331.1746    -333.9272       2.7526   291.7
0.0045        -331.1742    -334.0652       2.8910   306.4
0.0050        -331.1735    -334.2363       3.0628   324.6
0.0055        -331.1727    -334.4064       3.2337   342.7
0.0060        -331.1720    -334.5373       3.3653   356.6
0.0065        -331.1702    -334.5916       3.4214   362.6
0.0070        -331.1662    -334.5522       3.3860   358.8
0.0075        -331.1597    -334.4413       3.2816   347.8
0.0080        -331.1522    -334.3207       3.1685   335.8
0.0085        -331.1461    -334.2665       3.1203   330.7
0.0090        -331.1434    -334.3307       3.1873   337.8
0.0095        -331.1436    -334.5119       3.3682   357.0
0.0100        -331.1454    -334.7574       3.6120   382.8
0.0105        -331.1468    -334.9920       3.8452   407.5
0.0110        -331.1464    -335.1517       4.0053   424.5
0.0115        -331.1455    -335.2049       4.0594   430.2
0.0120        -331.1435    -335.1517       4.0082   424.8
0.0125        -331.1428    -335.0214       3.8786   411.0
0.0130        -331.1428    -334.8507       3.7079   393.0
0.0135        -331.1441    -334.6733       3.5293   374.0
0.0140        -331.1456    -334.5147       3.3691   357.0
0.0145        -331.1468    -334.3992       3.2524   344.7
0.0150        -331.1489    -334.3516       3.2028   339.4
0.0155        -331.1522    -334.3830       3.2307   342.4
0.0160        -331.1572    -334.4818       3.3246   352.3
0.0165        -331.1625    -334.6159       3.4533   366.0
0.0170        -331.1677    -334.7466       3.5789   379.3
0.0175        -331.1731    -334.8443       3.6712   389.1
0.0180        -331.1776    -334.8901       3.7124   393.4
0.0185        -331.1818    -334.8838       3.7020   392.3
0.0190        -331.1869    -334.8420       3.6552   387.4
0.0195        -331.1932    -334.7827       3.5895   380.4
0.0200        -331.2004    -334.7131       3.5127   372.3
0.0205        -331.2074    -334.6323       3.4248   363.0
0.0210        -331.2129    -334.5454       3.3324   353.2
0.0215        -331.2178    -334.4769       3.2591   345.4
0.0220        -331.2239    -334.4590       3.2351   342.8
0.0225        -331.2324    -334.5017       3.2693   346.5
0.0230        -331.2424    -334.5790       3.3367   353.6
0.0235        -331.2527    -334.6425       3.3899   359.3
0.0240        -331.2605    -334.6489       3.3884   359.1
0.0245        -331.2667    -334.5865       3.3198   351.8
0.0250        -331.2713    -334.4730       3.2017   339.3
0.0255        -331.2747    -334.3511       3.0764   326.0
0.0260        -331.2792    -334.2727       2.9935   317.2
0.0265        -331.2854    -334.2707       2.9853   316.4
0.0270        -331.2930    -334.3442       3.0513   323.4
0.0275        -331.3009    -334.4664       3.1655   335.5
0.0280        -331.3080    -334.6046       3.2967   349.4
0.0285        -331.3144    -334.7401       3.4257   363.0
0.0290        -331.3214    -334.8668       3.5453   375.7
0.0295        -331.3303    -334.9776       3.6473   386.5
0.0300        -331.3390    -335.0566       3.7176   394.0
0.0305        -331.3480    -335.0916       3.7436   396.7
0.0310        -331.3565    -335.0830       3.7265   394.9
0.0315        -331.3649    -335.0496       3.6847   390.5
0.0320        -331.3748    -335.0160       3.6412   385.9
0.0325        -331.3862    -334.9938       3.6076   382.3
0.0330        -331.3993    -334.9764       3.5771   379.1
0.0335        -331.4118    -334.9421       3.5303   374.1
0.0340        -331.4227    -334.8804       3.4576   366.4
0.0345        -331.4323    -334.8063       3.3740   357.6
0.0350        -331.4424    -334.7513       3.3089   350.7
0.0355        -331.4537    -334.7394       3.2857   348.2
0.0360        -331.4663    -334.7745       3.3083   350.6
0.0365        -331.4793    -334.8421       3.3629   356.4
0.0370        -331.4923    -334.9220       3.4297   363.5
0.0375        -331.5061    -334.9955       3.4894   369.8
0.0380        -331.5198    -335.0420       3.5223   373.3
0.0385        -331.5332    -335.0502       3.5170   372.7
0.0390        -331.5451    -335.0252       3.4801   368.8
0.0395        -331.5572    -334.9943       3.4371   364.3
0.0400        -331.5709    -334.9854       3.4145   361.9
0.0405        -331.5859    -335.0070       3.4210   362.6
0.0410        -331.6020    -335.0483       3.4462   365.2
0.0415        -331.6176    -335.0871       3.4694   367.7
0.0420        -331.6337    -335.1075       3.4738   368.1
0.0425        -331.6491    -335.0997       3.4506   365.7
0.0430        -331.6638    -335.0656       3.4018   360.5
0.0435        -331.6783    -335.0174       3.3391   353.9
0.0440        -331.6929    -334.9684       3.2755   347.1
0.0445        -331.7083    -334.9252       3.2169   340.9
0.0450        -331.7231    -334.8853       3.1622   335.1
0.0455        -331.7376    -334.8456       3.1080   329.4
0.0460        -331.7502    -334.8058       3.0556   323.8
0.0465        -331.7621    -334.7796       3.0174   319.8
0.0470        -331.7739    -334.7880       3.0140   319.4
0.0475        -331.7874    -334.8450       3.0576   324.0
0.0480        -331.8025    -334.9408       3.1384   332.6
0.0485        -331.8182    -335.0407       3.2226   341.5
0.0490        -331.8332    -335.1029       3.2697   346.5
0.0495        -331.8464    -335.1027       3.2564   345.1
0.0500        -331.8563    -335.0507       3.1943   338.5
0.0505        -331.8663    -334.9936       3.1273   331.4
0.0510        -331.8781    -334.9774       3.0993   328.5
0.0515        -331.8919    -335.0156       3.1237   331.0
0.0520        -331.9061    -335.0884       3.1823   337.3
0.0525        -331.9201    -335.1660       3.2459   344.0
0.0530        -331.9334    -335.2249       3.2915   348.8
0.0535        -331.9465    -335.2547       3.3082   350.6
0.0540        -331.9592    -335.2523       3.2931   349.0
0.0545        -331.9715    -335.2188       3.2474   344.1
0.0550        -331.9830    -335.1640       3.1810   337.1
0.0555        -331.9938    -335.1068       3.1130   329.9
0.0560        -332.0046    -335.0699       3.0654   324.9
0.0565        -332.0159    -335.0705       3.0547   323.7
0.0570        -332.0274    -335.1117       3.0842   326.9
0.0575        -332.0406    -335.1838       3.1432   333.1
0.0580        -332.0533    -335.2638       3.2105   340.2
0.0585        -332.0658    -335.3311       3.2653   346.1
0.0590        -332.0777    -335.3747       3.2970   349.4
0.0595        -332.0891    -335.3947       3.3055   350.3
0.0600        -332.0998    -335.4008       3.3010   349.8
0.0605        -332.1113    -335.4099       3.2986   349.6
0.0610        -332.1233    -335.4356       3.3123   351.0
0.0615        -332.1360    -335.4830       3.3470   354.7
0.0620        -332.1492    -335.5479       3.3987   360.2
0.0625        -332.1628    -335.6197       3.4568   366.3
0.0630        -332.1773    -335.6858       3.5085   371.8
0.0635        -332.1923    -335.7327       3.5404   375.2
0.0640        -332.2076    -335.7462       3.5386   375.0
0.0645        -332.2227    -335.7116       3.4889   369.7
0.0650        -332.2369    -335.6200       3.3831   358.5
0.0655        -332.2493    -335.4783       3.2290   342.2
0.0660        -332.2594    -335.3152       3.0558   323.8
0.0665        -332.2686    -335.1808       2.9122   308.6
0.0670        -332.2786    -335.1242       2.8456   301.6
0.0675        -332.2909    -335.1668       2.8760   304.8
0.0680        -332.3051    -335.2895       2.9844   316.3
0.0685        -332.3202    -335.4401       3.1199   330.6
0.0690        -332.3343    -335.5581       3.2238   341.6
0.0695        -332.3465    -335.6018       3.2554   345.0
0.0700        -332.3565    -335.5630       3.2065   339.8
0.0705        -332.3652    -335.4665       3.1013   328.7
0.0710        -332.3744    -335.3506       2.9762   315.4
0.0715        -332.3834    -335.2425       2.8591   303.0
0.0720        -332.3926    -335.1559       2.7633   292.8
0.0725        -332.4009    -335.0902       2.6893   285.0
0.0730        -332.4081    -335.0449       2.6369   279.4
0.0735        -332.4143    -335.0255       2.6112   276.7
0.0740        -332.4209    -335.0362       2.6153   277.2
0.0745        -332.4279    -335.0676       2.6397   279.7
0.0750        -332.4343    -335.0992       2.6649   282.4
0.0755        -332.4393    -335.1101       2.6708   283.0
0.0760        -332.4432    -335.0883       2.6451   280.3
0.0765        -332.4451    -335.0355       2.5905   274.5
0.0770        -332.4457    -334.9722       2.5265   267.8
0.0775        -332.4455    -334.9297       2.4843   263.3
0.0780        -332.4457    -334.9395       2.4937   264.3
0.0785        -332.4473    -335.0139       2.5666   272.0
0.0790        -332.4500    -335.1352       2.6852   284.6
0.0795        -332.4519    -335.2606       2.8087   297.7
0.0800        -332.4516    -335.3483       2.8967   307.0
0.0805        -332.4487    -335.3824       2.9337   310.9
0.0810        -332.4439    -335.3791       2.9352   311.1
0.0815        -332.4390    -335.3741       2.9350   311.0
0.0820        -332.4366    -335.3951       2.9585   313.5
0.0825        -332.4344    -335.4378       3.0034   318.3
0.0830        -332.4319    -335.4802       3.0483   323.0
0.0835        -332.4283    -335.4982       3.0699   325.3
0.0840        -332.4229    -335.4817       3.0588   324.2
0.0845        -332.4168    -335.4413       3.0246   320.5
0.0850        -332.4105    -335.3986       2.9881   316.7
0.0855        -332.4055    -335.3711       2.9656   314.3
0.0860        -332.4007    -335.3604       2.9597   313.7
0.0865        -332.3953    -335.3584       2.9631   314.0
0.0870        -332.3892    -335.3560       2.9669   314.4
0.0875        -332.3822    -335.3503       2.9681   314.5
0.0880        -332.3745    -335.3466       2.9721   315.0
0.0885        -332.3671    -335.3533       2.9861   316.5
0.0890        -332.3599    -335.3727       3.0128   319.3
0.0895        -332.3525    -335.4008       3.0483   323.1
0.0900        -332.3444    -335.4321       3.0877   327.2
0.0905        -332.3365    -335.4622       3.1257   331.3
0.0910        -332.3285    -335.4828       3.1543   334.3
0.0915        -332.3194    -335.4847       3.1652   335.4
0.0920        -332.3098    -335.4663       3.1565   334.5
0.0925        -332.2993    -335.4347       3.1353   332.3
0.0930        -332.2897    -335.4027       3.1131   329.9
0.0935        -332.2801    -335.3753       3.0952   328.0
0.0940        -332.2713    -335.3486       3.0773   326.1
0.0945        -332.2614    -335.3145       3.0531   323.6
0.0950        -332.2515    -335.2710       3.0194   320.0
0.0955        -332.2413    -335.2185       2.9772   315.5
0.0960        -332.2307    -335.1608       2.9301   310.5
0.0965        -332.2196    -335.1056       2.8860   305.9
0.0970        -332.2083    -335.0660       2.8576   302.8
0.0975        -332.1969    -335.0530       2.8561   302.7
0.0980        -332.1859    -335.0718       2.8859   305.8
0.0985        -332.1749    -335.1156       2.9407   311.6
0.0990        -332.1632    -335.1666       3.0034   318.3
0.0995        -332.1503    -335.2089       3.0586   324.1
0.1000        -332.1366    -335.2372       3.1006   328.6
0.1005        -332.1225    -335.2552       3.1328   332.0
0.1010        -332.1087    -335.2709       3.1622   335.1
0.1015        -332.0953    -335.2807       3.1854   337.6
0.1020        -332.0818    -335.2680       3.1863   337.7
0.1025        -332.0666    -335.2196       3.1530   334.1
0.1030        -332.0505    -335.1442       3.0937   327.9
0.1035        -332.0347    -335.0658       3.0311   321.2
0.1040        -332.0193    -335.0078       2.9884   316.7
0.1045        -332.0046    -334.9843       2.9798   315.8
0.1050        -331.9900    -334.9970       3.0069   318.7
0.1055        -331.9756    -335.0381       3.0625   324.6
0.1060        -331.9606    -335.0926       3.1320   331.9
0.1065        -331.9453    -335.1425       3.1972   338.8
0.1070        -331.9288    -335.1719       3.2430   343.7
0.1075        -331.9116    -335.1761       3.2644   346.0
0.1080        -331.8939    -335.1613       3.2674   346.3
0.1085        -331.8765    -335.1399       3.2634   345.8
0.1090        -331.8593    -335.1233       3.2640   345.9
0.1095        -331.8422    -335.1181       3.2758   347.2
0.1100        -331.8253    -335.1255       3.3002   349.7
0.1105        -331.8079    -335.1456       3.3377   353.7
0.1110        -331.7912    -335.1811       3.3898   359.2
0.1115        -331.7753    -335.2231       3.4477   365.4
0.1120        -331.7598    -335.2479       3.4880   369.7
0.1125        -331.7435    -335.2274       3.4839   369.2
0.1130        -331.7256    -335.1494       3.4238   362.9
0.1135        -331.7071    -335.0316       3.3245   352.3
0.1140        -331.6893    -334.9089       3.2196   341.2
0.1145        -331.6727    -334.8130       3.1404   332.8
0.1150        -331.6576    -334.7632       3.1056   329.1
0.1155        -331.6432    -334.7598       3.1166   330.3
0.1160        -331.6292    -334.7894       3.1601   334.9
0.1165        -331.6146    -334.8281       3.2134   340.6
0.1170        -331.5996    -334.8532       3.2536   344.8
0.1175        -331.5839    -334.8484       3.2645   346.0
0.1180        -331.5670    -334.8085       3.2415   343.5
0.1185        -331.5494    -334.7473       3.1979   338.9
0.1190        -331.5317    -334.6916       3.1598   334.9
0.1195        -331.5149    -334.6703       3.1554   334.4
0.1200        -331.4993    -334.7004       3.2011   339.2
0.1205        -331.4839    -334.7753       3.2914   348.8
0.1210        -331.4693    -334.8740       3.4047   360.8
0.1215        -331.4536    -334.9623       3.5087   371.8
0.1220        -331.4372    -335.0093       3.5720   378.6
0.1225        -331.4199    -334.9971       3.5771   379.1
0.1230        -331.4013    -334.9277       3.5264   373.7
0.1235        -331.3835    -334.8250       3.4415   364.7
0.1240        -331.3669    -334.7171       3.3502   355.0
0.1245        -331.3519    -334.6206       3.2687   346.4
0.1250        -331.3374    -334.5378       3.2004   339.2
0.1255        -331.3229    -334.4676       3.1447   333.3
0.1260        -331.3085    -334.4087       3.1003   328.6
0.1265        -331.2939    -334.3604       3.0666   325.0
0.1270        -331.2797    -334.3241       3.0444   322.6
0.1275        -331.2647    -334.3004       3.0357   321.7
0.1280        -331.2497    -334.2950       3.0453   322.7
0.1285        -331.2342    -334.3148       3.0806   326.5
0.1290        -331.2194    -334.3648       3.1453   333.3
0.1295        -331.2045    -334.4385       3.2340   342.7
0.1300        -331.1902    -334.5197       3.3296   352.9
0.1305        -331.1744    -334.5835       3.4092   361.3
0.1310        -331.1567    -334.6175       3.4609   366.8
0.1315        -331.1380    -334.6316       3.4936   370.2
0.1320        -331.1195    -334.6504       3.5309   374.2
0.1325        -331.1034    -334.6948       3.5914   380.6
0.1330        -331.0887    -334.7591       3.6703   389.0
0.1335        -331.0739    -334.8153       3.7414   396.5
0.1340        -331.0586    -334.8365       3.7779   400.4
0.1345        -331.0422    -334.8115       3.7693   399.5
0.1350        -331.0266    -334.7516       3.7251   394.8
0.1355        -331.0115    -334.6760       3.6645   388.4
0.1360        -330.9974    -334.6033       3.6059   382.1
0.1365        -330.9842    -334.5504       3.5662   377.9
0.1370        -330.9724    -334.5304       3.5581   377.1
0.1375        -330.9615    -334.5447       3.5832   379.7
0.1380        -330.9521    -334.5824       3.6302   384.7
0.1385        -330.9432    -334.6204       3.6772   389.7
0.1390        -330.9337    -334.6362       3.7024   392.4
0.1395        -330.9238    -334.6212       3.6973   391.8
0.1400        -330.9140    -334.5834       3.6694   388.9
0.1405        -330.9049    -334.5397       3.6348   385.2
0.1410        -330.8968    -334.5074       3.6106   382.6
0.1415        -330.8894    -334.4987       3.6093   382.5
0.1420        -330.8828    -334.5197       3.6369   385.4
0.1425        -330.8772    -334.5710       3.6938   391.5
0.1430        -330.8724    -334.6463       3.7739   400.0
0.1435        -330.8695    -334.7307       3.8612   409.2
0.1440        -330.8678    -334.7913       3.9235   415.8
0.1445        -330.8656    -334.7903       3.9247   415.9
0.1450        -330.8630    -334.7109       3.8479   407.8
0.1455        -330.8581    -334.5675       3.7094   393.1
0.1460        -330.8535    -334.4124       3.5589   377.2
0.1465        -330.8506    -334.3068       3.4562   366.3
0.1470        -330.8508    -334.2894       3.4386   364.4
0.1475        -330.8539    -334.3570       3.5031   371.3
0.1480        -330.8575    -334.4691       3.6115   382.7
0.1485        -330.8613    -334.5744       3.7131   393.5
0.1490        -330.8637    -334.6349       3.7712   399.7
0.1495        -330.8652    -334.6404       3.7752   400.1
0.1500        -330.8675    -334.6041       3.7366   396.0
0.1505        -330.8698    -334.5461       3.6763   389.6
0.1510        -330.8727    -334.4900       3.6173   383.4
0.1515        -330.8773    -334.4585       3.5812   379.5
0.1520        -330.8830    -334.4616       3.5786   379.2
0.1525        -330.8901    -334.4937       3.6036   381.9
0.1530        -330.8979    -334.5345       3.6366   385.4
0.1535        -330.9056    -334.5614       3.6559   387.4
0.1540        -330.9133    -334.5615       3.6482   386.6
0.1545        -330.9207    -334.5313       3.6107   382.7
0.1550        -330.9276    -334.4814       3.5538   376.6
0.1555        -330.9349    -334.4337       3.4988   370.8
0.1560        -330.9426    -334.4088       3.4662   367.3
0.1565        -330.9516    -334.4198       3.4682   367.6
0.1570        -330.9622    -334.4655       3.5033   371.3
0.1575        -330.9728    -334.5307       3.5580   377.1
0.1580        -330.9839    -334.6005       3.6166   383.3
0.1585        -330.9949    -334.6630       3.6681   388.7
0.1590        -331.0056    -334.7179       3.7123   393.4
0.1595        -331.0177    -334.7745       3.7568   398.1
0.1600        -331.0316    -334.8371       3.8055   403.3
0.1605        -331.0466    -334.9004       3.8538   408.4
0.1610        -331.0618    -334.9567       3.8949   412.8
0.1615        -331.0775    -335.0052       3.9277   416.2
0.1620        -331.0948    -335.0516       3.9568   419.3
0.1625        -331.1133    -335.1022       3.9889   422.7
0.1630        -331.1343    -335.1559       4.0217   426.2
0.1635        -331.1571    -335.1959       4.0389   428.0
0.1640        -331.1804    -335.1993       4.0189   425.9
0.1645        -331.2035    -335.1539       3.9504   418.7
0.1650        -331.2263    -335.0661       3.8398   406.9
0.1655        -331.2489    -334.9544       3.7055   392.7
0.1660        -331.2719    -334.8408       3.5689   378.2
0.1665        -331.2951    -334.7404       3.4453   365.1
0.1670        -331.3178    -334.6585       3.3407   354.0
0.1675        -331.3400    -334.5974       3.2575   345.2
0.1680        -331.3616    -334.5597       3.1981   338.9
0.1685        -331.3827    -334.5485       3.1658   335.5
0.1690        -331.4040    -334.5674       3.1634   335.3
0.1695        -331.4259    -334.6133       3.1874   337.8
0.1700        -331.4486    -334.6751       3.2265   341.9
0.1705        -331.4719    -334.7327       3.2608   345.6
0.1710        -331.4946    -334.7622       3.2676   346.3
0.1715        -331.5162    -334.7491       3.2328   342.6
0.1720        -331.5360    -334.6939       3.1579   334.7
0.1725        -331.5546    -334.6175       3.0629   324.6
0.1730        -331.5727    -334.5511       2.9783   315.6
0.1735        -331.5905    -334.5224       2.9319   310.7
0.1740        -331.6090    -334.5492       2.9402   311.6
0.1745        -331.6284    -334.6322       3.0038   318.3
0.1750        -331.6495    -334.7539       3.1044   329.0
0.1755        -331.6713    -334.8773       3.2060   339.8
0.1760        -331.6929    -334.9610       3.2681   346.3
0.1765        -331.7132    -334.9746       3.2613   345.6
0.1770        -331.7308    -334.9119       3.1811   337.1
0.1775        -331.7463    -334.8012       3.0549   323.7
0.1780        -331.7609    -334.6910       2.9301   310.5
0.1785        -331.7767    -334.6274       2.8507   302.1
0.1790        -331.7938    -334.6259       2.8321   300.1
0.1795        -331.8120    -334.6682       2.8562   302.7
0.1800        -331.8292    -334.7175       2.8883   306.1
0.1805        -331.8450    -334.7425       2.8974   307.1
0.1810        -331.8589    -334.7312       2.8723   304.4
0.1815        -331.8716    -334.6944       2.8228   299.2
0.1820        -331.8835    -334.6538       2.7702   293.6
0.1825        -331.8953    -334.6329       2.7376   290.1
0.1830        -331.9076    -334.6483       2.7407   290.5
0.1835        -331.9198    -334.7002       2.7804   294.7
0.1840        -331.9326    -334.7764       2.8438   301.4
0.1845        -331.9453    -334.8522       2.9069   308.1
0.1850        -331.9568    -334.9021       2.9453   312.1
0.1855        -331.9662    -334.9168       2.9506   312.7
0.1860        -331.9749    -334.9101       2.9352   311.1
0.1865        -331.9843    -334.9024       2.9181   309.3
0.1870        -331.9940    -334.9026       2.9087   308.3
0.1875        -332.0034    -334.9089       2.9055   307.9
0.1880        -332.0120    -334.9147       2.9027   307.6
0.1885        -332.0199    -334.9202       2.9003   307.4
0.1890        -332.0270    -334.9312       2.9042   307.8
0.1895        -332.0342    -334.9541       2.9199   309.4
0.1900        -332.0425    -334.9872       2.9446   312.1
0.1905        -332.0507    -335.0145       2.9638   314.1
0.1910        -332.0584    -335.0142       2.9558   313.3
0.1915        -332.0640    -334.9722       2.9081   308.2
0.1920        -332.0675    -334.8978       2.8303   300.0
0.1925        -332.0700    -334.8224       2.7525   291.7
0.1930        -332.0726    -334.7829       2.7104   287.2
0.1935        -332.0767    -334.8019       2.7252   288.8
0.1940        -332.0818    -334.8715       2.7897   295.6
0.1945        -332.0868    -334.9596       2.8728   304.5
0.1950        -332.0904    -335.0297       2.9393   311.5
0.1955        -332.0922    -335.0622       2.9700   314.8
0.1960        -332.0930    -335.0586       2.9657   314.3
0.1965        -332.0932    -335.0349       2.9417   311.8
0.1970        -332.0933    -335.0125       2.9192   309.4
0.1975        -332.0936    -335.0066       2.9130   308.7
0.1980        -332.0946    -335.0226       2.9280   310.3
0.1985        -332.0956    -335.0523       2.9566   313.3
0.1990        -332.0957    -335.0836       2.9879   316.6
0.1995        -332.0947    -335.1109       3.0161   319.6
0.2000        -332.0936    -335.1367       3.0431   322.5
0.2005        -332.0926    -335.1646       3.0720   325.6
0.2010        -332.0915    -335.1935       3.1020   328.7
0.2015        -332.0912    -335.2181       3.1269   331.4
0.2020        -332.0898    -335.2240       3.1342   332.2
0.2025        -332.0873    -335.2033       3.1160   330.2
0.2030        -332.0834    -335.1676       3.0843   326.9
0.2035        -332.0793    -335.1456       3.0663   325.0
0.2040        -332.0767    -335.1614       3.0848   326.9
0.2045        -332.0758    -335.2117       3.1360   332.3
0.2050        -332.0753    -335.2632       3.1879   337.8
0.2055        -332.0725    -335.2786       3.2061   339.8
0.2060        -332.0678    -335.2467       3.1788   336.9
0.2065        -332.0626    -335.1834       3.1208   330.7
0.2070        -332.0574    -335.1176       3.0602   324.3
0.2075        -332.0530    -335.0749       3.0219   320.2
0.2080        -332.0496    -335.0686       3.0189   319.9
0.2085        -332.0465    -335.0956       3.0491   323.1
0.2090        -332.0433    -335.1435       3.1003   328.6
0.2095        -332.0393    -335.1975       3.1581   334.7
0.2100        -332.0350    -335.2476       3.2126   340.5
0.2105        -332.0307    -335.2894       3.2587   345.3
0.2110        -332.0265    -335.3174       3.2909   348.8
0.2115        -332.0224    -335.3217       3.2993   349.6
0.2120        -332.0178    -335.2912       3.2734   346.9
0.2125        -332.0113    -335.2276       3.2163   340.9
0.2130        -332.0034    -335.1605       3.1571   334.6
0.2135        -331.9972    -335.1354       3.1382   332.6
0.2140        -331.9933    -335.1731       3.1798   337.0
0.2145        -331.9913    -335.2516       3.2603   345.5
0.2150        -331.9881    -335.3205       3.3324   353.2
0.2155        -331.9830    -335.3408       3.3578   355.8
0.2160        -331.9760    -335.3076       3.3316   353.1
0.2165        -331.9684    -335.2494       3.2810   347.7
0.2170        -331.9622    -335.2018       3.2396   343.3
0.2175        -331.9577    -335.1824       3.2247   341.7
0.2180        -331.9539    -335.1870       3.2331   342.6
0.2185        -331.9497    -335.1987       3.2490   344.3
0.2190        -331.9448    -335.2052       3.2604   345.5
0.2195        -331.9394    -335.2036       3.2642   345.9
0.2200        -331.9338    -335.1998       3.2660   346.1
0.2205        -331.9290    -335.2034       3.2744   347.0
0.2210        -331.9248    -335.2149       3.2901   348.7
0.2215        -331.9207    -335.2259       3.3052   350.3
0.2220        -331.9163    -335.2279       3.3115   350.9
0.2225        -331.9119    -335.2146       3.3026   350.0
0.2230        -331.9078    -335.1823       3.2745   347.0
0.2235        -331.9033    -335.1261       3.2227   341.5
0.2240        -331.8972    -335.0474       3.1502   333.8
0.2245        -331.8897    -334.9729       3.0832   326.8
0.2250        -331.8831    -334.9456       3.0625   324.6
0.2255        -331.8786    -334.9895       3.1109   329.7
0.2260        -331.8757    -335.0907       3.2150   340.7
0.2265        -331.8722    -335.2111       3.3389   353.8
0.2270        -331.8687    -335.3117       3.4430   364.9
0.2275        -331.8638    -335.3600       3.4962   370.5
0.2280        -331.8578    -335.3419       3.4840   369.2
0.2285        -331.8508    -335.2655       3.4147   361.9
0.2290        -331.8434    -335.1633       3.3200   351.8
0.2295        -331.8368    -335.0789       3.2421   343.6
0.2300        -331.8314    -335.0477       3.2162   340.8
0.2305        -331.8274    -335.0850       3.2576   345.2
0.2310        -331.8245    -335.1824       3.3579   355.9
0.2315        -331.8220    -335.3143       3.4923   370.1
0.2320        -331.8199    -335.4477       3.6278   384.5
0.2325        -331.8175    -335.5457       3.7282   395.1
0.2330        -331.8158    -335.5756       3.7598   398.5
0.2335        -331.8127    -335.5146       3.7019   392.3
0.2340        -331.8077    -335.3708       3.5631   377.6
0.2345        -331.8008    -335.1942       3.3933   359.6
0.2350        -331.7959    -335.0636       3.2677   346.3
0.2355        -331.7947    -335.0351       3.2404   343.4
0.2360        -331.7972    -335.1044       3.3072   350.5
0.2365        -331.8005    -335.2138       3.4134   361.7
0.2370        -331.8022    -335.2951       3.4929   370.2
0.2375        -331.8011    -335.3032       3.5021   371.1
0.2380        -331.7992    -335.2333       3.4341   363.9
0.2385        -331.7963    -335.1092       3.3130   351.1
0.2390        -331.7936    -334.9728       3.1792   336.9
0.2395        -331.7917    -334.8656       3.0739   325.8
0.2400        -331.7912    -334.8128       3.0215   320.2
0.2405        -331.7919    -334.8152       3.0233   320.4
0.2410        -331.7929    -334.8536       3.0607   324.4
0.2415        -331.7930    -334.8996       3.1066   329.2
0.2420        -331.7922    -334.9338       3.1415   332.9
0.2425        -331.7899    -334.9497       3.1598   334.9
0.2430        -331.7884    -334.9544       3.1660   335.5
0.2435        -331.7875    -334.9506       3.1632   335.2
0.2440        -331.7871    -334.9316       3.1446   333.3
0.2445        -331.7852    -334.8838       3.0986   328.4
0.2450        -331.7809    -334.8108       3.0299   321.1
0.2455        -331.7757    -334.7459       2.9702   314.8
0.2460        -331.7719    -334.7337       2.9618   313.9
0.2465        -331.7704    -334.7938       3.0234   320.4
0.2470        -331.7710    -334.9011       3.1301   331.7
0.2475        -331.7703    -334.9984       3.2281   342.1
0.2480        -331.7666    -335.0409       3.2743   347.0
0.2485        -331.7612    -335.0224       3.2613   345.6
0.2490        -331.7551    -334.9672       3.2121   340.4
0.2495        -331.7502    -334.9099       3.1597   334.9
0.2500        -331.7467    -334.8702       3.1235   331.0
0.2505        -331.7434    -334.8468       3.1034   328.9
0.2510        -331.7401    -334.8299       3.0898   327.5
0.2515        -331.7349    -334.8138       3.0790   326.3
0.2520        -331.7293    -334.8115       3.0821   326.6
0.2525        -331.7242    -334.8395       3.1153   330.2
0.2530        -331.7207    -334.9023       3.1817   337.2
0.2535        -331.7178    -334.9789       3.2611   345.6
0.2540        -331.7143    -335.0355       3.3212   352.0
0.2545        -331.7094    -335.0481       3.3387   353.8
0.2550        -331.7031    -335.0146       3.3116   351.0
0.2555        -331.6959    -334.9577       3.2617   345.7
0.2560        -331.6891    -334.9140       3.2249   341.8
0.2565        -331.6839    -334.9139       3.2299   342.3
0.2570        -331.6807    -334.9622       3.2816   347.8
0.2575        -331.6780    -335.0352       3.3572   355.8
0.2580        -331.6741    -335.0989       3.4248   363.0
0.2585        -331.6689    -335.1359       3.4670   367.4
0.2590        -331.6633    -335.1508       3.4875   369.6
0.2595        -331.6584    -335.1566       3.4982   370.7
0.2600        -331.6547    -335.1606       3.5058   371.5
0.2605        -331.6519    -335.1567       3.5048   371.4
0.2610        -331.6489    -335.1311       3.4823   369.0
0.2615        -331.6454    -335.0786       3.4333   363.9
0.2620        -331.6408    -335.0099       3.3691   357.0
0.2625        -331.6367    -334.9507       3.3140   351.2
0.2630        -331.6336    -334.9241       3.2905   348.7
0.2635        -331.6318    -334.9392       3.3074   350.5
0.2640        -331.6304    -334.9875       3.3571   355.8
0.2645        -331.6291    -335.0518       3.4226   362.7
0.2650        -331.6273    -335.1157       3.4884   369.7
0.2655        -331.6257    -335.1678       3.5421   375.4
0.2660        -331.6240    -335.2010       3.5770   379.1
0.2665        -331.6222    -335.2152       3.5929   380.8
0.2670        -331.6217    -335.2135       3.5918   380.6
0.2675        -331.6213    -335.1948       3.5735   378.7
0.2680        -331.6211    -335.1613       3.5403   375.2
0.2685        -331.6215    -335.1170       3.4955   370.4
